Plant_ID,Plot,Row,Column,Position,Competition,Treatment,PlantDate(L),Planting Person (L),LeftMeasure(mm),PlantDate R),Planting Person (R),RightMeasure(mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,Initial PER: 5/6/22,PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,Mortality Date (L),Mortality Date (R),Notes
11,A3,C,1,C1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,15,3/17/2022,Emma Snyder,12,9.6,1.251,13.7,1.317,1.364,1.187,1.305,,,,4/7/22,5/13/22,
12,A3,C,2,C2,Weed Cloth,Water,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,11,18.5,1.391,26.8,1.512,1.433,1.234,1.337,1.312,1.199,,5/27/22,5/27/22,
13,A4,A,1,A1,No Cloth,Control,3/17/2022,Emma Snyder,8,3/17/2022,Emma Snyder,14,11.3,1.279,16.2,1.355,1.198,1.157,1.14,1.14,,,5/20/22,5/20/22,
14,A4,A,2,A2,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,10,13.5,1.316,18.9,1.395,1.364,1.317,1.451,1.458,,,5/20/22,5/20/22,
15,A4,B,1,B1,Weed Cloth,Water,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,12,20.2,1.416,27.8,1.528,1.407,1.311,1.405,1.374,,,5/20/22,5/20/22,
16,A4,B,2,B2,Weed Cloth,Control,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,12,9.7,1.253,20.6,1.421,1.289,,,,,,5/6/22,5/6/22,4/15/22 covered in dirt
17,A4,C,1,C1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,11,9.0,1.242,16.9,1.365,1.284,1.222,1.299,,,,5/13/22,5/13/22,
18,A4,C,2,C2,No Cloth,Water,3/17/2022,Emma Snyder,9,3/17/2022,Emma Snyder,10,12.4,1.298,21.8,1.439,1.317,1.18,1.302,1.311,,,5/20/22,5/6/22,right one buried
19,B1,A,1,A1,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,9,8.3,1.229,16.9,1.366,1.279,1.145,1.25,1.294,,,5/20/22,5/20/22,
20,B1,A,2,A2,Weed Cloth,Water,3/17/2022,Emma Snyder,5,3/17/2022,Emma Snyder,10,12.3,1.296,19.9,1.412,1.348,1.217,1.268,,,,5/13/22,5/13/22,
21,B1,B,1,B1,Weed Cloth,Control,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,11,11.6,1.285,17.2,1.371,1.187,1.163,1.171,1.147,,,5/20/22,5/13/22,
22,B1,B,2,B2,No Cloth,Control,4/1/2022,Emma Snyder,11,3/17/2022,Emma Snyder,8,5.1,1.173,,,,,,,,,4/7/22,4/15/22,4/15/22 cave in
23,B1,C,1,C1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/21/2022,Rachael Bradley,6,7.0,1.208,5.1,1.174,1.095,1.047,1.18,1.214,,,5/20/22,4/7/22,
24,B1,C,2,C2,No Cloth,Water,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,14,12.5,1.299,15.4,1.344,1.303,1.138,1.287,1.148,,,5/20/22,5/20/22,
25,B5,A,1,A1,Weed Cloth,Water,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,16,12.3,1.298,19.6,1.406,1.405,1.213,1.383,1.299,,,5/20/22,5/20/22,
26,B5,A,2,A2,No Cloth,Water,4/1/2022,Emma Snyder,14,3/17/2022,Emma Snyder,12,14.9,1.337,20.9,1.426,1.412,1.161,1.303,1.237,,,4/15/22,5/20/22,
27,B5,B,1,B1,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,11,10.3,1.259,15.6,1.346,1.362,1.171,1.311,1.249,,,5/13/22,5/20/22,
28,B5,B,2,B2,No Cloth,Fertilizer,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,12,9.2,1.247,15.8,1.355,1.340,1.155,1.309,1.247,,,5/20/22,5/20/22,
29,B5,C,1,C1,Weed Cloth,Control,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,9,10.3,1.265,24.4,1.346,1.198,1.138,1.14,1.118,,,5/20/22,5/20/22,
30,B5,C,2,C2,No Cloth,Control,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,12,8.7,1.238,13.5,1.349,1.168,1.153,1.152,,,,5/13/22,5/13/22,
31,C3,A,1,A1,Weed Cloth,Water,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,12,20.5,1.419,17.7,1.476,1.504,1.274,1.413,1.385,1.294,1.249,5/27/22,6/2/22,
32,C3,A,2,A2,Weed Cloth,Control,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,15,8.3,1.231,22.1,1.314,1.161,1.148,1.142,1.118,1.109,,5/27/22,5/27/22,
33,C3,B,1,B1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,12,10.6,1.269,24.8,1.378,1.278,1.191,1.345,1.268,1.278,,5/27/22,5/27/22,
34,C3,B,2,B2,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,10,11.8,1.287,20.6,1.442,1.301,1.206,1.354,1.311,1.229,,5/20/22,5/27/22,
35,C3,C,1,C1,No Cloth,Control,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,14,12.1,1.293,15.6,1.483,1.216,1.183,1.166,,,,5/13/22,5/13/22,
36,C3,C,2,C2,No Cloth,Water,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,14,14.1,1.325,19.6,1.421,1.284,1.169,1.282,1.282,1.292,,5/27/22,5/27/22,
37,C4,A,1,A1,Weed Cloth,Control,3/17/2022,Emma Snyder,16,3/17/2022,Emma Snyder,15,8.5,1.234,17.7,1.346,1.196,1.144,1.139,1.127,1.109,,5/27/22,5/27/22,
38,C4,A,2,A2,Weed Cloth,Water,3/17/2022,Emma Snyder,9,3/17/2022,Emma Snyder,13,13.5,1.314,14.7,1.406,1.238,1.142,1.279,1.247,1.267,1.204,5/27/22,6/2/22,
39,C4,B,1,B1,No Cloth,Control,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,15,8.9,1.241,13.5,1.378,1.174,1.132,1.139,1.121,1.108,,5/13/22,5/27/22,
40,C4,B,2,B2,No Cloth,Fertilizer,3/17/2022,Emma Snyder,14,3/17/2022,Emma Snyder,14,8.5,1.234,27.2,1.331,1.221,1.138,1.256,1.237,1.251,,5/27/22,5/20/22,
41,C4,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,12,10.0,1.260,27.5,1.314,1.249,1.119,1.262,1.197,1.213,,5/27/22,5/27/22,
42,C4,C,2,C2,No Cloth,Water,3/17/2022,Emma Snyder,8,3/17/2022,Emma Snyder,9,13.9,1.321,16.8,1.518,1.251,1.157,1.357,1.203,1.227,,5/27/22,5/27/22,
43,C5,A,1,A1,No Cloth,Water,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,11,16.9,1.366,18.5,1.524,1.308,1.184,1.368,1.308,,,5/20/22,5/13/22,
44,C5,A,2,A2,Weed Cloth,Fertilizer,3/17/2022,Rachael Bradley,10,3/21/2022,Rachael Bradley,9,11.6,1.285,24.8,1.364,1.326,1.176,1.309,1.125,1.234,,5/27/22,5/27/22,
45,C5,B,1,B1,No Cloth,Control,3/17/2022,Rachael Bradley,8,3/17/2022,Rachael Bradley,11,10.3,1.265,17.8,1.390,1.218,1.154,1.152,1.135,1.127,,5/20/22,5/27/22,
46,C5,B,2,B2,Weed Cloth,Water,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,10,15.4,1.344,17.9,1.482,1.322,1.223,1.361,1.333,1.296,,5/27/22,5/27/22,
47,C5,C,1,C1,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,8,3/17/2022,Rachael Bradley,8,8.7,1.238,16.0,1.379,1.262,1.158,1.312,1.251,,,5/20/22,5/20/22,
48,C5,C,2,C2,Weed Cloth,Control,3/17/2022,Rachael Bradley,8,3/17/2022,Rachael Bradley,12,10.7,1.272,14.5,1.382,1.202,1.168,1.151,1.145,1.113,,5/27/22,5/13/22,friendly fire
49,D3,A,1,A1,Weed Cloth,Fertilizer,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,12,11.6,1.284,23.5,1.353,1.321,1.188,1.309,1.292,,,5/13/22,5/20/22,
50,D3,A,2,A2,No Cloth,Control,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,11,9.9,1.258,21.7,1.329,1.191,1.154,1.146,,,,5/13/22,5/13/22,
51,D3,B,1,B1,No Cloth,Water,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,12,17.0,1.369,14.3,1.464,1.366,1.161,1.301,,,,5/13/22,5/6/22,
52,D3,B,2,B2,Weed Cloth,Water,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,11,15.6,1.347,16.3,1.437,1.492,1.197,1.416,1.354,,,5/13/22,5/20/22,
53,D3,C,1,C1,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,10,8.4,1.232,14.6,1.327,1.312,1.152,1.299,1.277,,,5/20/22,5/13/22,
54,D3,C,2,C2,Weed Cloth,Control,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,11,9.8,1.255,26.2,1.356,1.215,1.171,1.152,1.143,,,5/20/22,5/20/22,
55,D4,A,1,A1,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,13,8.9,1.242,14.6,1.331,1.176,1.147,1.139,,,,5/13/22,5/13/22,
56,D4,A,2,A2,Weed Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,9,12.4,1.299,26.2,1.503,1.239,1.154,1.238,1.25,,,5/20/22,5/13/22,
57,D4,B,1,B1,Weed Cloth,Control,3/17/2022,Miranda Melen,19,3/17/2022,Miranda Melen,17,10.4,1.266,17.0,1.368,1.202,1.156,1.154,1.154,,,5/20/22,5/20/22,
58,D4,B,2,B2,No Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,16,14.6,1.333,21.4,1.433,1.319,1.165,1.309,1.298,,,5/6/22,5/20/22,
59,D4,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,18,10.8,1.272,15.2,1.339,1.303,1.166,1.342,1.309,,,5/20/22,5/20/22,
60,D4,C,2,C2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,10,8.4,1.232,14.3,1.327,1.326,1.161,1.296,1.279,,,5/20/22,5/20/22,
61,E1,A,1,A1,No Cloth,Water,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,12,15.1,1.340,24.4,1.476,1.269,1.154,1.262,,,,5/6/22,5/13/22,
62,E1,A,2,A2,Weed Cloth,Water,3/17/2022,Rachael Bradley,18,3/17/2022,Rachael Bradley,8,16.9,1.368,27.8,1.528,1.378,1.188,1.209,1.285,,,5/13/22,5/20/22,
63,E1,B,1,B1,Weed Cloth,Control,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,17,12.4,1.299,17.2,1.371,1.222,1.169,1.158,1.152,,,5/20/22,5/13/22,
64,E1,B,2,B2,Weed Cloth,Fertilizer,3/17/2022,Rachael Bradley,9,3/17/2022,Rachael Bradley,11,9.7,1.255,19.2,1.400,1.291,1.182,1.276,1.278,,,5/20/22,5/13/22,
65,E1,C,1,C1,No Cloth,Control,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,10,9.3,1.247,12.3,1.294,1.191,1.146,1.14,1.131,,,5/20/22,5/13/22,
66,E1,C,2,C2,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,13,3/17/2022,Rachael Bradley,10,7.9,1.223,13.9,1.321,1.273,1.156,1.269,1.243,,,5/13/22,5/20/22,
67,E2,A,1,A1,Weed Cloth,Control,3/17/2022,Miranda Melen,14,3/17/2022,Miranda Melen,12,7.9,1.223,18.5,1.390,1.199,1.154,1.149,1.137,,,5/20/22,5/20/22,
68,E2,A,2,A2,No Cloth,Water,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,11,12.2,1.296,19.8,1.409,1.316,1.142,1.268,1.224,,,5/20/22,5/20/22,
69,E2,B,1,B1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,10,10.9,1.274,18.3,1.387,1.326,1.154,1.313,1.285,,,5/27/22,5/20/22,
70,E2,B,2,B2,Weed Cloth,Water,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,17,10.2,1.265,25.5,1.493,1.374,1.183,1.364,1.299,,,5/13/22,5/20/22,
71,E2,C,1,C1,No Cloth,Control,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,12,9.8,1.256,19.0,1.398,1.219,1.149,1.174,1.14,,,5/20/22,5/20/22,
72,E2,C,2,C2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,14,5.9,1.188,15.4,1.344,1.285,1.148,1.268,1.215,,,5/20/22,5/20/22,
73,E3,A,1,A1,Weed Cloth,Water,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,10,16.2,1.357,23.7,1.467,1.296,1.168,1.243,1.178,,,5/13/22,5/20/22,
74,E3,A,2,A2,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,10,7.3,1.214,17.1,1.369,1.189,1.147,1.158,1.138,,,5/13/22,5/20/22,
75,E3,B,1,B1,No Cloth,Fertilizer,3/17/2022,Miranda Melen,6,3/17/2022,Miranda Melen,8,9.3,1.247,16.6,1.362,1.340,1.158,1.305,,,,5/13/22,5/13/22,
76,E3,B,2,B2,Weed Cloth,Control,3/17/2022,Miranda Melen,7,3/17/2022,Miranda Melen,10,9.8,1.257,16.7,1.363,1.200,1.151,1.152,1.129,,,5/20/22,5/20/22,
77,E3,C,1,C1,No Cloth,Water,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,11,14.9,1.338,23.6,1.465,1.285,1.143,1.261,1.298,,,5/20/22,5/20/22,
78,E3,C,2,C2,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,9,8.9,1.242,15.5,1.345,1.337,1.157,1.265,1.285,1.235,,5/20/22,5/27/22,
79,F2,A,1,A1,Weed Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,11,20.1,1.415,23.5,1.464,1.429,1.208,1.409,1.269,1.239,,5/27/22,5/20/22,
80,F2,A,2,A2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,8,3/17/2022,Miranda Melen,7,8.7,1.237,17.2,1.371,1.278,1.151,1.289,1.181,,,5/20/22,5/20/22,
81,F2,B,1,B1,No Cloth,Control,3/17/2022,Miranda Melen,9,3/25/2022,Emma Snyder,11,5.9,1.188,,,,,,,,,4/7/22,4/7/22,4/15/22 cave in
82,F2,B,2,B2,Weed Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,11,10.9,1.274,20.3,1.416,1.212,1.173,1.168,1.142,1.128,,5/20/22,5/27/22,
83,F2,C,1,C1,No Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,10,12.2,1.295,22.9,1.456,1.302,1.189,1.286,,,,5/13/22,5/13/22,
84,F2,C,2,C2,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,11,10.5,1.268,18.4,1.389,1.345,1.127,1.335,1.282,1.211,,5/27/22,5/27/22,
85,F3,A,1,A1,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,10,9.5,1.250,18.1,1.383,1.282,1.177,1.303,1.278,1.257,,5/27/22,5/27/22,
86,F3,A,2,A2,Weed Cloth,Water,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,12,13.7,1.318,20.5,1.418,1.352,1.19,1.414,1.322,1.259,,5/27/22,5/27/22,
87,F3,B,1,B1,Weed Cloth,Control,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,11,10.7,1.270,15.7,1.348,1.207,1.173,1.166,1.164,1.148,,5/13/22,5/27/22,
88,F3,B,2,B2,Weed Cloth,Water,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,9,15.7,1.348,23.8,1.468,1.434,1.241,1.302,1.303,,,5/13/22,5/20/22,
89,F3,C,1,C1,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,9,8.9,1.239,16.6,1.361,1.243,1.159,1.242,1.301,,,5/13/22,5/20/22,
90,F3,C,2,C2,No Cloth,Control,3/17/2022,Rachael Bradley,9,3/17/2022,Rachael Bradley,7,6.7,1.204,14.4,1.328,1.156,,,,,,5/6/22,5/6/22,
91,F4,A,1,A1,Weed Cloth,Water,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,11,14.7,1.334,19.0,1.397,1.265,1.161,1.298,1.195,1.253,,5/27/22,5/27/22,
92,F4,A,2,A2,Weed Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,10,11.1,1.278,16.7,1.364,1.205,1.143,1.144,1.13,1.109,,5/27/22,5/27/22,
93,F4,B,1,B1,No Cloth,Fertilizer,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,11,11.1,1.276,16.4,1.359,1.312,1.159,1.289,1.244,,,5/20/22,5/20/22,
94,F4,B,2,B2,No Cloth,Water,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,9,13.5,1.316,20.0,1.412,1.278,1.159,1.276,1.232,,,5/20/22,5/20/22,
95,F4,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,8,3/17/2022,Miranda Melen,9,12.2,1.294,19.7,1.407,1.406,1.211,1.424,1.278,1.278,,5/27/22,5/27/22,
96,F4,C,2,C2,No Cloth,Control,3/21/2022,Miranda Melen,9,4/1/2022,Emma Snyder,13,10.9,1.273,15.7,1.347,1.203,1.114,1.145,1.116,,,5/20/22,4/7/22,
97,F5,A,1,A1,Weed Cloth,Control,3/17/2022,Tyler Lee,11,3/17/2022,Tyler Lee,9,10.4,1.266,18.0,1.382,1.233,1.18,1.174,1.149,1.129,,5/20/22,5/27/22,
98,F5,A,2,A2,Weed Cloth,Water,3/17/2022,Tyler Lee,10,3/17/2022,Tyler Lee,9,18.0,1.383,23.7,1.467,1.405,1.238,1.427,1.354,,,5/20/22,5/20/22,
99,F5,B,1,B1,No Cloth,Control,3/17/2022,Tyler Lee,8,3/25/2022,Emma Snyder,7,9.8,1.255,16.1,1.354,1.190,1.148,1.142,1.132,1.126,,5/20/22,5/27/22,
100,F5,B,2,B2,No Cloth,Water,3/17/2022,Tyler Lee,12,3/17/2022,Tyler Lee,13,15.0,1.339,27.8,1.527,1.282,1.221,1.273,1.364,,,5/20/22,5/20/22,
101,F5,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Tyler Lee,12,3/17/2022,Tyler Lee,11,13.1,1.309,23.9,1.470,1.368,1.252,1.456,1.406,1.403,,5/27/22,5/27/22,
102,F5,C,2,C2,No Cloth,Fertilizer,3/17/2022,Tyler Lee,11,3/17/2022,Tyler Lee,12,10.2,1.262,19.5,1.406,1.351,1.194,1.346,1.344,1.266,,5/27/22,5/27/22,
103,G2,A,1,A1,No Cloth,Fertilizer,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,10,9.1,1.244,12.4,1.296,1.275,1.143,1.247,1.294,1.2,,5/13/22,5/27/22,
104,G2,A,2,A2,Weed Cloth,Control,3/25/2022,Emma Snyder,7,3/25/2022,Emma Snyder,4,8.2,1.229,13.7,1.318,1.178,1.13,1.25,1.137,,,5/20/22,5/20/22,"watered by mistake, one plus measurement invalid, 5/6/22"
105,G2,B,1,B1,Weed Cloth,Water,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,16,14.9,1.337,30.7,1.572,1.492,1.287,1.408,1.477,1.371,1.292,6/2/22,5/13/22,
106,G2,B,2,B2,No Cloth,Water,3/17/2022,Miranda Melen,16,3/17/2022,Miranda Melen,11,12.7,1.303,21.9,1.439,1.343,1.174,1.287,,,,5/13/22,5/13/22,
107,G2,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,17,3/17/2022,Miranda Melen,13,10.1,1.261,18.0,1.383,1.325,1.165,1.335,,,,5/13/22,5/13/22,
108,G2,C,2,C2,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,10,9.3,1.248,13.8,1.319,1.200,1.151,1.142,1.131,,,5/20/22,5/13/22,
109,G3,A,1,A1,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,13,9.2,1.246,16.4,1.359,1.194,1.155,1.151,1.142,,,5/20/22,5/20/22,
110,G3,A,2,A2,Weed Cloth,Water,4/1/2022,Emma Snyder,11,3/17/2022,Miranda Melen,9,17.9,1.387,27.6,1.525,1.477,1.325,1.469,1.324,,,5/20/22,5/13/22,
111,G3,B,1,B1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,7,13.2,1.311,22.6,1.450,1.405,1.204,1.275,,,,5/13/22,5/13/22,
112,G3,B,2,B2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,8,3/17/2022,Miranda Melen,13,8.8,1.239,15.5,1.345,1.299,1.151,1.296,1.273,,,5/13/22,5/20/22,
113,G3,C,1,C1,Weed Cloth,Control,4/1/2022,Emma Snyder,8,4/1/2022,Emma Snyder,9,9.9,1.258,15.4,1.344,1.229,1.186,1.171,1.156,,,5/20/22,4/7/22,
114,G3,C,2,C2,No Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,6,13.3,1.312,24.0,1.472,1.345,1.152,1.299,,,,5/13/22,5/13/22,
115,G4,A,1,A1,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,15,8.6,1.237,14.9,1.336,1.195,1.147,1.146,,,,5/13/22,4/7/22,
116,G4,A,2,A2,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,15,10.6,1.273,,,,,,,,,4/7/22,4/7/22,
117,G4,B,1,B1,Weed Cloth,Water,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,10,11.8,1.289,16.9,1.365,1.328,1.18,1.295,1.257,,,5/13/22,5/20/22,
118,G4,B,2,B2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,9,8.1,1.226,13.0,1.307,1.299,1.155,1.273,,,,4/7/22,5/13/22,
119,G4,C,1,C1,Weed Cloth,Control,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,8,12.4,1.298,15.3,1.342,1.244,1.169,1.211,,,,5/13/22,5/13/22,
120,G4,C,2,C2,No Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,13,9.8,1.256,20.6,1.421,1.295,1.148,1.232,1.244,,,5/20/22,5/20/22,
121,G5,A,1,A1,Weed Cloth,Fertilizer,3/17/2022,Rachael Bradley,11,3/17/2022,Rachael Bradley,10,9.3,1.248,12.7,1.301,1.289,1.205,1.309,1.311,,,5/20/22,5/13/22,
122,G5,A,2,A2,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,7,9.4,1.249,11.6,1.284,1.281,1.172,1.301,1.276,,,5/13/22,5/20/22,
123,G5,B,1,B1,No Cloth,Water,3/17/2022,Rachael Bradley,8,3/17/2022,Rachael Bradley,7,13.4,1.313,22.2,1.444,1.304,1.176,1.325,,,,4/7/22,5/13/22,
124,G5,B,2,B2,No Cloth,Control,3/17/2022,Rachael Bradley,10,3/17/2022,Rachael Bradley,7,7.7,1.221,12.4,1.298,1.182,1.135,1.148,1.113,,,5/20/22,5/13/22,
125,G5,C,1,C1,Weed Cloth,Water,3/25/2022,Rachael Bradley,8,3/17/2022,Rachael Bradley,9,11.9,1.291,18.8,1.395,1.282,1.174,1.252,,,,5/13/22,5/13/22,
126,G5,C,2,C2,Weed Cloth,Control,3/17/2022,Emma Snyder,17,3/17/2022,Rachael Bradley,13,5.2,1.177,12.5,1.299,1.205,1.143,1.137,,,,5/13/22,4/7/22,
127,H2,A,1,A1,No Cloth,Control,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,10,8.8,1.238,12.5,1.299,1.211,1.164,1.155,,,,5/13/22,5/13/22,
128,H2,A,2,A2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,15,8.6,1.235,13.9,1.321,1.272,1.149,1.302,,,,5/13/22,5/13/22,
129,H2,B,1,B1,No Cloth,Water,3/17/2022,Miranda Melen,10,3/17/2022,Miranda Melen,12,14.4,1.329,22.9,1.455,1.318,1.169,1.252,,,,5/13/22,5/13/22,
