siteID,soil,df_type,inv,drought_trt,block,days_surv,censor,death_date,death_date_NA
1,L,street_fighter_1,Br,drought,2,41,1,2018_10_15,2018_10_15
3,L,street_fighter_1,Br,drought,3,41,1,2018_10_15,2018_10_15
2,L,street_fighter_1,Br,drought,1,48,1,2018_10_22,2018_10_22
2,L,street_fighter_1,Br,drought,2,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Br,drought,8,69,1,2018_11_13,2018_11_13
1,L,street_fighter_1,Br,drought,6,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Br,drought,7,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Br,drought,2,69,1,2018_11_13,2018_11_13
2,L,street_fighter_1,Br,drought,8,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Br,drought,9,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Br,drought,6,73,1,2018_11_16,2018_11_16
2,L,street_fighter_1,Br,drought,9,80,1,2018_11_23,2018_11_23
3,L,street_fighter_1,Br,drought,10,83,1,2018_11_26,NA
2,L,street_fighter_2,Br,drought,10,83,0,2018_11_26,NA
2,L,street_fighter_2,Br,drought,8,15,1,2018_9_19,2018_9_19
3,L,street_fighter_2,Br,drought,9,20,1,2018_9_24,2018_9_24
3,L,street_fighter_2,Br,drought,2,24,1,2018_9_28,2018_9_28
2,L,street_fighter_2,Br,drought,1,24,1,2018_9_28,2018_9_28
3,L,street_fighter_2,Br,drought,4,27,1,2018_10_1,2018_10_1
1,L,street_fighter_2,Br,drought,4,27,1,2018_10_1,2018_10_1
1,L,street_fighter_2,Br,drought,2,29,1,2018_10_3,2018_10_3
3,L,street_fighter_2,Br,drought,3,29,1,2018_10_3,2018_10_3
2,L,street_fighter_2,Br,drought,5,29,1,2018_10_3,2018_10_3
1,L,street_fighter_2,Br,drought,5,29,1,2018_10_3,2018_10_3
3,L,street_fighter_2,Br,drought,6,31,1,2018_10_5,2018_10_5
1,L,street_fighter_2,Br,drought,1,34,1,2018_10_8,2018_10_8
3,L,street_fighter_2,Br,drought,1,34,1,2018_10_8,2018_10_8
1,L,street_fighter_2,Br,drought,9,34,1,2018_10_8,2018_10_8
1,L,street_fighter_2,Br,drought,8,41,1,2018_10_15,2018_10_15
1,L,street_fighter_2,Br,drought,3,41,1,2018_10_15,2018_10_15
1,L,street_fighter_2,Br,drought,10,41,1,2018_10_15,2018_10_15
1,L,street_fighter_2,Br,drought,7,45,1,2018_10_19,2018_10_19
3,L,street_fighter_2,Br,drought,5,48,1,2018_10_22,2018_10_22
2,L,street_fighter_2,Br,drought,2,69,1,2018_11_13,2018_11_13
2,L,street_fighter_2,Br,drought,3,69,1,2018_11_13,2018_11_13
3,L,street_fighter_2,Br,drought,10,73,1,2018_11_16,2018_11_16
3,L,street_fighter_2,Br,drought,8,73,1,2018_11_16,2018_11_16
2,L,street_fighter_2,Br,drought,4,73,1,2018_11_16,2018_11_16
2,L,street_fighter_2,Br,drought,6,73,1,2018_11_16,2018_11_16
2,L,street_fighter_2,Br,drought,9,73,1,2018_11_16,2018_11_16
2,L,street_fighter_2,Br,drought,7,80,1,2018_11_23,2018_11_23
3,L,street_fighter_2,Br,drought,7,80,1,2018_11_23,2018_11_23
3,L,primadonna,Un,drought,2,83,0,2018_11_26,NA
3,L,primadonna,Un,drought,6,83,0,2018_11_26,NA
1,L,primadonna,Un,drought,6,83,0,2018_11_26,NA
1,L,primadonna,Un,drought,7,83,0,2018_11_26,NA
1,L,primadonna,Un,drought,10,83,0,2018_11_26,NA
3,L,primadonna,Un,drought,8,83,0,2018_11_26,NA
3,L,primadonna,Un,drought,9,83,0,2018_11_26,NA
1,L,primadonna,Un,drought,3,69,1,2018_11_13,2018_11_13
2,L,primadonna,Un,drought,4,77,1,2018_11_20,2018_11_20
1,L,primadonna,Un,drought,5,77,1,2018_11_20,2018_11_20
2,L,primadonna,Un,drought,2,80,1,2018_11_23,2018_11_23
3,L,primadonna,Un,drought,7,80,1,2018_11_23,2018_11_23
2,L,primadonna,Un,drought,7,80,1,2018_11_23,2018_11_23
2,L,primadonna,Un,drought,3,80,1,2018_11_23,2018_11_23
1,L,primadonna,Un,drought,4,80,1,2018_11_23,2018_11_23
1,L,primadonna,Un,drought,1,80,1,2018_11_23,2018_11_23
2,L,primadonna,Un,drought,6,80,1,2018_11_23,2018_11_23
3,L,primadonna,Un,drought,4,80,1,2018_11_23,2018_11_23
3,L,primadonna,Un,drought,5,80,1,2018_11_23,2018_11_23
3,L,primadonna,Un,drought,10,80,1,2018_11_23,2018_11_23
1,L,primadonna,Un,drought,2,83,1,2018_11_26,NA
1,L,primadonna,Un,drought,9,83,1,2018_11_26,NA
2,L,primadonna,Un,drought,1,83,1,2018_11_26,NA
2,L,primadonna,Un,drought,8,83,1,2018_11_26,NA
2,L,primadonna,Un,drought,9,83,1,2018_11_26,NA
3,L,primadonna,Un,drought,3,83,1,2018_11_26,NA
2,L,primadonna,Un,drought,5,83,1,2018_11_26,NA
1,L,primadonna,Un,drought,8,83,1,2018_11_26,NA
2,L,street_fighter_1,Un,drought,5,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,drought,4,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,drought,2,83,0,2018_11_26,NA
2,L,street_fighter_1,Un,drought,7,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,drought,6,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,drought,10,83,0,2018_11_26,NA
2,L,street_fighter_1,Un,drought,4,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,drought,9,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,drought,6,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,drought,1,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,drought,5,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,drought,9,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,drought,3,69,1,2018_11_13,2018_11_13
3,L,street_fighter_1,Un,drought,7,73,1,2018_11_16,2018_11_16
2,L,street_fighter_1,Un,drought,1,79,1,2018_11_22,2018_11_22
2,L,street_fighter_1,Un,drought,2,80,1,2018_11_23,2018_11_23
1,L,street_fighter_1,Un,drought,7,80,1,2018_11_23,2018_11_23
1,L,street_fighter_1,Un,drought,5,80,1,2018_11_23,2018_11_23
2,L,street_fighter_1,Un,drought,3,80,1,2018_11_23,2018_11_23
3,L,street_fighter_1,Un,drought,2,80,1,2018_11_23,2018_11_23
3,L,street_fighter_1,Un,drought,3,80,1,2018_11_23,2018_11_23
2,L,street_fighter_1,Un,drought,9,80,1,2018_11_23,2018_11_23
1,L,street_fighter_1,Un,drought,1,80,1,2018_11_23,2018_11_23
2,L,street_fighter_1,Un,drought,10,80,1,2018_11_23,2018_11_23
2,L,street_fighter_1,Un,drought,6,83,1,2018_11_26,NA
1,L,street_fighter_1,Un,drought,8,83,1,2018_11_26,NA
1,L,street_fighter_1,Un,drought,4,83,1,2018_11_26,NA
2,L,street_fighter_1,Un,drought,8,83,1,2018_11_26,NA
3,L,street_fighter_1,Un,drought,8,83,1,2018_11_26,NA
1,L,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
1,L,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
1,L,street_fighter_2,Un,drought,9,83,0,2018_11_26,NA
1,L,street_fighter_2,Un,drought,3,83,0,2018_11_26,NA
1,L,street_fighter_2,Un,drought,6,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,drought,1,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
1,L,street_fighter_2,Un,drought,5,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,drought,5,83,0,2018_11_26,NA
3,L,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
3,L,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,drought,7,73,1,2018_11_16,2018_11_16
2,L,street_fighter_2,Un,drought,9,73,1,2018_11_16,2018_11_16
1,L,street_fighter_2,Un,drought,7,80,1,2018_11_23,2018_11_23
2,L,street_fighter_2,Un,drought,6,80,1,2018_11_23,2018_11_23
3,L,street_fighter_2,Un,drought,3,80,1,2018_11_23,2018_11_23
3,L,street_fighter_2,Un,drought,1,80,1,2018_11_23,2018_11_23
3,L,street_fighter_2,Un,drought,7,80,1,2018_11_23,2018_11_23
3,L,street_fighter_2,Un,drought,9,83,1,2018_11_26,NA
3,L,street_fighter_2,Un,drought,4,83,1,2018_11_26,NA
3,L,street_fighter_2,Un,drought,2,83,1,2018_11_26,NA
1,L,street_fighter_2,Un,drought,2,83,1,2018_11_26,NA
2,L,street_fighter_2,Un,drought,2,83,1,2018_11_26,NA
2,L,street_fighter_2,Un,drought,4,83,1,2018_11_26,NA
3,L,street_fighter_2,Un,drought,6,83,1,2018_11_26,NA
1,L,street_fighter_2,Un,drought,4,83,1,2018_11_26,NA
1,L,street_fighter_2,Un,drought,1,83,1,2018_11_26,NA
3,L,street_fighter_2,Un,drought,5,83,1,2018_11_26,NA
2,S,primadonna,Br,drought,3,83,0,2018_11_26,NA
3,S,primadonna,Br,drought,1,17,1,2018_9_21,2018_9_21
2,S,primadonna,Br,drought,1,17,1,2018_9_21,2018_9_21
2,S,primadonna,Br,drought,4,20,1,2018_9_24,2018_9_24
1,S,primadonna,Br,drought,7,20,1,2018_9_24,2018_9_24
1,S,primadonna,Br,drought,10,27,1,2018_10_1,2018_10_1
1,S,primadonna,Br,drought,8,27,1,2018_10_1,2018_10_1
1,S,primadonna,Br,drought,9,27,1,2018_10_1,2018_10_1
3,S,primadonna,Br,drought,2,29,1,2018_10_3,2018_10_3
3,S,primadonna,Br,drought,3,34,1,2018_10_8,2018_10_8
2,S,primadonna,Br,drought,9,41,1,2018_10_15,2018_10_15
3,S,primadonna,Br,drought,7,69,1,2018_11_13,2018_11_13
2,S,primadonna,Br,drought,10,69,1,2018_11_13,2018_11_13
3,S,primadonna,Br,drought,6,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,8,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,9,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,8,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,4,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,2,73,1,2018_11_16,2018_11_16
1,S,primadonna,Br,drought,4,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,5,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,6,77,1,2018_11_20,2018_11_20
1,S,primadonna,Br,drought,6,77,1,2018_11_20,2018_11_20
1,S,primadonna,Br,drought,5,77,1,2018_11_20,2018_11_20
3,S,primadonna,Br,drought,5,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,2,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,3,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,1,83,1,2018_11_26,NA
2,S,primadonna,Br,drought,7,83,1,2018_11_26,NA
1,S,street_fighter_1,Br,drought,1,83,0,2018_11_26,NA
1,S,street_fighter_1,Br,drought,4,24,1,2018_9_28,2018_9_28
2,S,street_fighter_1,Br,drought,6,27,1,2018_10_1,2018_10_1
2,S,street_fighter_1,Br,drought,10,27,1,2018_10_1,2018_10_1
2,S,street_fighter_1,Br,drought,2,27,1,2018_10_1,2018_10_1
1,S,street_fighter_1,Br,drought,8,29,1,2018_10_3,2018_10_3
3,S,street_fighter_1,Br,drought,5,29,1,2018_10_3,2018_10_3
1,S,street_fighter_1,Br,drought,7,29,1,2018_10_3,2018_10_3
2,S,street_fighter_1,Br,drought,1,34,1,2018_10_8,2018_10_8
1,S,street_fighter_1,Br,drought,2,34,1,2018_10_8,2018_10_8
3,S,street_fighter_1,Br,drought,1,34,1,2018_10_8,2018_10_8
3,S,street_fighter_1,Br,drought,8,41,1,2018_10_15,2018_10_15
3,S,street_fighter_1,Br,drought,3,41,1,2018_10_15,2018_10_15
1,S,street_fighter_1,Br,drought,5,45,1,2018_10_19,2018_10_19
1,S,street_fighter_1,Br,drought,10,69,1,2018_11_13,2018_11_13
1,S,street_fighter_1,Br,drought,9,69,1,2018_11_13,2018_11_13
3,S,street_fighter_1,Br,drought,2,69,1,2018_11_13,2018_11_13
2,S,street_fighter_1,Br,drought,8,73,1,2018_11_16,2018_11_16
2,S,street_fighter_1,Br,drought,3,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,9,73,1,2018_11_16,2018_11_16
2,S,street_fighter_1,Br,drought,7,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,10,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,7,77,1,2018_11_20,2018_11_20
2,S,street_fighter_1,Br,drought,9,77,1,2018_11_20,2018_11_20
2,S,street_fighter_1,Br,drought,4,77,1,2018_11_20,2018_11_20
3,S,street_fighter_1,Br,drought,4,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Br,drought,5,80,1,2018_11_23,2018_11_23
1,S,street_fighter_1,Br,drought,6,80,1,2018_11_23,2018_11_23
1,S,street_fighter_1,Br,drought,3,80,1,2018_11_23,2018_11_23
3,S,street_fighter_1,Br,drought,6,83,1,2018_11_26,NA
2,S,street_fighter_2,Br,drought,3,83,0,2018_11_26,NA
3,S,street_fighter_2,Br,drought,1,83,0,2018_11_26,NA
3,S,street_fighter_2,Br,drought,4,83,0,2018_11_26,NA
3,S,street_fighter_2,Br,drought,2,15,1,2018_9_19,2018_9_19
2,S,street_fighter_2,Br,drought,1,24,1,2018_9_28,2018_9_28
2,S,street_fighter_2,Br,drought,6,27,1,2018_10_1,2018_10_1
1,S,street_fighter_2,Br,drought,8,29,1,2018_10_3,2018_10_3
1,S,street_fighter_2,Br,drought,5,29,1,2018_10_3,2018_10_3
1,S,street_fighter_2,Br,drought,9,29,1,2018_10_3,2018_10_3
2,S,street_fighter_2,Br,drought,2,34,1,2018_10_8,2018_10_8
3,S,street_fighter_2,Br,drought,3,34,1,2018_10_8,2018_10_8
1,S,street_fighter_2,Br,drought,6,38,1,2018_10_12,2018_10_12
3,S,street_fighter_2,Br,drought,6,38,1,2018_10_12,2018_10_12
3,S,street_fighter_2,Br,drought,8,41,1,2018_10_15,2018_10_15
2,S,street_fighter_2,Br,drought,7,45,1,2018_10_19,2018_10_19
1,S,street_fighter_2,Br,drought,10,45,1,2018_10_19,2018_10_19
2,S,street_fighter_2,Br,drought,5,45,1,2018_10_19,2018_10_19
2,S,street_fighter_2,Br,drought,9,69,1,2018_11_13,2018_11_13
1,S,street_fighter_2,Br,drought,4,69,1,2018_11_13,2018_11_13
2,S,street_fighter_2,Br,drought,10,69,1,2018_11_13,2018_11_13
3,S,street_fighter_2,Br,drought,10,69,1,2018_11_13,2018_11_13
2,S,street_fighter_2,Br,drought,8,69,1,2018_11_13,2018_11_13
3,S,street_fighter_2,Br,drought,5,73,1,2018_11_16,2018_11_16
3,S,street_fighter_2,Br,drought,7,73,1,2018_11_16,2018_11_16
3,S,street_fighter_2,Br,drought,9,73,1,2018_11_16,2018_11_16
1,S,street_fighter_2,Br,drought,2,80,1,2018_11_23,2018_11_23
1,S,street_fighter_2,Br,drought,1,80,1,2018_11_23,2018_11_23
1,S,street_fighter_2,Br,drought,3,83,1,2018_11_26,NA
1,S,street_fighter_2,Br,drought,7,83,1,2018_11_26,NA
2,S,street_fighter_2,Br,drought,4,83,1,2018_11_26,NA
1,S,primadonna,Un,drought,1,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,8,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,10,83,0,2018_11_26,NA
2,S,primadonna,Un,drought,1,83,0,2018_11_26,NA
2,S,primadonna,Un,drought,8,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,2,83,0,2018_11_26,NA
2,S,primadonna,Un,drought,10,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,1,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,9,83,0,2018_11_26,NA
1,S,primadonna,Un,drought,7,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,6,83,0,2018_11_26,NA
2,S,primadonna,Un,drought,7,83,0,2018_11_26,NA
3,S,primadonna,Un,drought,7,83,0,2018_11_26,NA
1,S,primadonna,Un,drought,9,83,0,2018_11_26,NA
1,S,primadonna,Un,drought,6,83,0,2018_11_26,NA
2,S,primadonna,Un,drought,4,73,1,2018_11_16,2018_11_16
1,S,primadonna,Un,drought,3,73,1,2018_11_16,2018_11_16
2,S,primadonna,Un,drought,5,73,1,2018_11_16,2018_11_16
2,S,primadonna,Un,drought,2,73,1,2018_11_16,2018_11_16
2,S,primadonna,Un,drought,3,73,1,2018_11_16,2018_11_16
1,S,primadonna,Un,drought,4,77,1,2018_11_20,2018_11_20
3,S,primadonna,Un,drought,5,77,1,2018_11_20,2018_11_20
3,S,primadonna,Un,drought,4,80,1,2018_11_23,2018_11_23
3,S,primadonna,Un,drought,3,80,1,2018_11_23,2018_11_23
2,S,primadonna,Un,drought,6,80,1,2018_11_23,2018_11_23
1,S,primadonna,Un,drought,5,80,1,2018_11_23,2018_11_23
2,S,primadonna,Un,drought,9,80,1,2018_11_23,2018_11_23
1,S,primadonna,Un,drought,10,83,1,2018_11_26,NA
1,S,primadonna,Un,drought,8,83,1,2018_11_26,NA
1,S,street_fighter_1,Un,drought,1,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,drought,8,83,0,2018_11_26,NA
2,S,street_fighter_1,Un,drought,9,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,3,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,drought,4,83,0,2018_11_26,NA
2,S,street_fighter_1,Un,drought,5,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,4,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,drought,9,83,0,2018_11_26,NA
2,S,street_fighter_1,Un,drought,8,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,9,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,8,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,6,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,drought,1,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,drought,6,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,drought,7,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Un,drought,10,77,1,2018_11_20,2018_11_20
2,S,street_fighter_1,Un,drought,1,79,1,2018_11_22,2018_11_22
1,S,street_fighter_1,Un,drought,5,80,1,2018_11_23,2018_11_23
1,S,street_fighter_1,Un,drought,3,80,1,2018_11_23,2018_11_23
3,S,street_fighter_1,Un,drought,2,80,1,2018_11_23,2018_11_23
3,S,street_fighter_1,Un,drought,7,80,1,2018_11_23,2018_11_23
1,S,street_fighter_1,Un,drought,2,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Un,drought,7,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Un,drought,2,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Un,drought,3,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Un,drought,4,80,1,2018_11_23,2018_11_23
2,S,street_fighter_1,Un,drought,6,80,1,2018_11_23,2018_11_23
1,S,street_fighter_1,Un,drought,10,83,1,2018_11_26,NA
2,S,street_fighter_1,Un,drought,10,83,1,2018_11_26,NA
3,S,street_fighter_2,Un,drought,1,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,4,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,9,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,drought,2,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,drought,9,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,drought,9,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,3,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,drought,6,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,drought,8,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,drought,10,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,2,83,0,2018_11_26,NA
3,S,street_fighter_2,Un,drought,5,27,1,2018_10_1,2018_10_1
1,S,street_fighter_2,Un,drought,7,69,1,2018_11_13,2018_11_13
3,S,street_fighter_2,Un,drought,7,80,1,2018_11_23,2018_11_23
2,S,street_fighter_2,Un,drought,7,80,1,2018_11_23,2018_11_23
2,S,street_fighter_2,Un,drought,3,80,1,2018_11_23,2018_11_23
1,S,street_fighter_2,Un,drought,5,80,1,2018_11_23,2018_11_23
1,S,street_fighter_2,Un,drought,3,80,1,2018_11_23,2018_11_23
2,S,street_fighter_2,Un,drought,1,83,1,2018_11_26,NA
1,S,street_fighter_2,Un,drought,6,83,1,2018_11_26,NA
3,S,street_fighter_2,Un,drought,6,83,1,2018_11_26,NA
2,S,street_fighter_2,Un,drought,4,83,1,2018_11_26,NA
1,S,street_fighter_2,Un,drought,4,83,1,2018_11_26,NA
1,S,street_fighter_2,Un,drought,2,83,1,2018_11_26,NA
3,S,street_fighter_2,Br,wet,10,73,1,2018_11_16,2018_11_16
3,L,primadonna,Br,wet,4,73,1,2018_11_16,2018_11_16
1,L,primadonna,Un,wet,6,83,1,2018_11_26,2018_11_26
3,L,primadonna,Br,wet,5,50,1,2018_10_24,2018_10_24
2,L,street_fighter_1,Un,wet,1,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,wet,3,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,wet,4,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,wet,5,83,0,2018_11_26,NA
2,L,primadonna,Br,wet,7,83,0,2018_11_26,NA
3,L,primadonna,Br,wet,1,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,wet,3,83,0,2018_11_26,NA
2,L,street_fighter_1,Br,wet,4,83,0,2018_11_26,NA
2,L,street_fighter_2,Un,wet,5,83,0,2018_11_26,NA
2,S,street_fighter_2,Un,wet,9,83,0,2018_11_26,NA
2,S,primadonna,Un,wet,10,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,wet,3,83,0,2018_11_26,NA
2,S,street_fighter_1,Un,wet,4,83,0,2018_11_26,NA
2,S,primadonna,Un,wet,6,83,0,2018_11_26,NA
1,L,street_fighter_1,Br,wet,7,83,0,2018_11_26,NA
1,S,street_fighter_1,Un,wet,8,83,0,2018_11_26,NA
3,S,primadonna,Un,wet,3,83,0,2018_11_26,NA
1,L,street_fighter_2,Br,wet,4,83,0,2018_11_26,NA
3,S,primadonna,Un,wet,5,83,0,2018_11_26,NA
1,S,street_fighter_2,Br,wet,6,83,0,2018_11_26,NA
2,L,street_fighter_1,Br,wet,2,83,0,2018_11_26,NA
3,L,primadonna,Un,wet,3,83,0,2018_11_26,NA
2,S,street_fighter_1,Br,wet,5,83,0,2018_11_26,NA
2,L,primadonna,Un,wet,8,83,0,2018_11_26,NA
3,L,street_fighter_2,Un,wet,9,83,0,2018_11_26,NA
2,L,primadonna,Un,wet,3,83,0,2018_11_26,NA
2,S,primadonna,Br,wet,7,83,0,2018_11_26,NA
2,L,street_fighter_1,Un,wet,8,83,0,2018_11_26,NA
1,S,street_fighter_2,Un,wet,9,83,0,2018_11_26,NA
1,S,primadonna,Un,wet,1,83,0,2018_11_26,NA
3,S,primadonna,Un,wet,2,83,0,2018_11_26,NA
2,S,primadonna,Un,wet,4,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,wet,2,83,0,2018_11_26,NA
1,L,street_fighter_2,Br,wet,3,83,0,2018_11_26,NA
3,L,primadonna,Br,wet,6,83,0,2018_11_26,NA
3,L,street_fighter_1,Un,wet,7,83,0,2018_11_26,NA
3,S,primadonna,Un,wet,8,83,0,2018_11_26,NA
3,L,street_fighter_2,Br,wet,9,83,0,2018_11_26,NA
1,L,primadonna,Un,wet,10,83,0,2018_11_26,NA
3,S,primadonna,Br,wet,3,83,0,2018_11_26,NA
1,L,street_fighter_1,Un,wet,6,83,0,2018_11_26,NA
3,S,street_fighter_1,Un,wet,7,83,0,2018_11_26,NA
