Code,Site,Type,Quadrat,nr_species,%dittrichia
Lexington reservoir_Non-roadside,Lexington Reservoir,Offroad,1,24,0
Lexington reservoir_Non-roadside,Lexington Reservoir,Offroad,2,24,20
Lexington reservoir_Non-roadside,Lexington Reservoir,Offroad,3,24,18
Lexington reservoir_Roadside,Lexington Reservoir,Road,1,10,3
Lexington reservoir_Roadside,Lexington Reservoir,Road,2,10,5
Lexington reservoir_Roadside,Lexington Reservoir,Road,3,10,4
Metcalf ponds_Non-roadside,Metcalf Ponds,Offroad,1,13,30
Metcalf ponds_Non-roadside,Metcalf Ponds,Offroad,2,13,2
Metcalf ponds_Non-roadside,Metcalf Ponds,Offroad,3,13,11
Metcalf ponds_Roadside,Metcalf Ponds,Road,1,8,3
Metcalf ponds_Roadside,Metcalf Ponds,Road,2,8,5
Metcalf ponds_Roadside,Metcalf Ponds,Road,3,8,0
Penitencia creek_Non-roadside,Penitencia Creek,Offroad,1,10,52
Penitencia creek_Non-roadside,Penitencia Creek,Offroad,2,10,30
Penitencia creek_Non-roadside,Penitencia Creek,Offroad,3,10,27
Penitencia creek_Roadside,Penitencia Creek,Road,1,10,1
Penitencia creek_Roadside,Penitencia Creek,Road,2,10,5
Penitencia creek_Roadside,Penitencia Creek,Road,3,10,3
Parkway lakes RV_Non-roadside,Parkway Lakes RV,Offroad,1,17,2
Parkway lakes RV_Non-roadside,Parkway Lakes RV,Offroad,2,17,6
Parkway lakes RV_Non-roadside,Parkway Lakes RV,Offroad,3,17,1
Parkway lakes RV_Roadside,Parkway Lakes RV,Road,1,11,3
Parkway lakes RV_Roadside,Parkway Lakes RV,Road,2,11,2
Parkway lakes RV_Roadside,Parkway Lakes RV,Road,3,11,8
Chesboro reservoir_Non-roadside,Chesboro Reservoir,Offroad,1,28,13
Chesboro reservoir_Non-roadside,Chesboro Reservoir,Offroad,2,28,22
Chesboro reservoir_Non-roadside,Chesboro Reservoir,Offroad,3,28,7
Chesboro reservoir_Roadside,Chesboro Reservoir,Road,1,15,0
Chesboro reservoir_Roadside,Chesboro Reservoir,Road,2,15,2
Chesboro reservoir_Roadside,Chesboro Reservoir,Road,3,15,8
Oakridge pond_Non-roadside,Oakridge Pond,Offroad,1,9,8
Oakridge pond_Non-roadside,Oakridge Pond,Offroad,2,9,4
Oakridge pond_Non-roadside,Oakridge Pond,Offroad,3,9,30
Oakridge pond_Roadside,Oakridge Pond,Road,1,6,0
Oakridge pond_Roadside,Oakridge Pond,Road,2,6,23
Oakridge pond_Roadside,Oakridge Pond,Road,3,6,1
Guadalupe reservoir_Non-roadside,Guadalupe Reservoir,Offroad,1,27,39
Guadalupe reservoir_Non-roadside,Guadalupe Reservoir,Offroad,2,27,53
Guadalupe reservoir_Non-roadside,Guadalupe Reservoir,Offroad,3,27,50
Guadalupe reservoir_Roadside,Guadalupe Reservoir,Road,1,10,5
Guadalupe reservoir_Roadside,Guadalupe Reservoir,Road,2,10,0
Guadalupe reservoir_Roadside,Guadalupe Reservoir,Road,3,10,7
