Num,Site,Habitat,Population,Rep,DishNum,PopNum,Treatment,ID,SurvivalID,NoGermDish,TotGermDish,PropGermDish,PlotPropGerm,Label,PlantDate,GermDate,Censor,Census,DaysCensus,DaysToGerm
17,BAY,Away,BAY-A,A,2,1,Construction,A_1_Construction,Construction_A,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
18,BAY,Away,BAY-A,A,2,1,Construction,A_1_Construction,Construction_A,1,9,0.9,0.1,Seed8Date,7/21/21,7/26/21,1,8/3/21,13,5
19,BAY,Away,BAY-A,A,2,1,Construction,A_1_Construction,Construction_A,1,9,0.9,0.1,Seed9Date,7/21/21,7/26/21,1,8/3/21,13,5
20,BAY,Away,BAY-A,A,2,1,Construction,A_1_Construction,Construction_A,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
21,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
22,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
23,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed3Date,7/21/21,7/24/21,1,8/3/21,13,3
24,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
25,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
26,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
27,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
28,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed8Date,7/21/21,7/24/21,1,8/3/21,13,3
29,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed9Date,7/21/21,7/25/21,1,8/3/21,13,4
30,BAY,Away,BAY-A,B,3,1,Vegetated,B_1_Natural,Natural_A,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
31,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
32,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
33,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
34,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
35,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
36,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
37,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
38,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed8Date,7/21/21,7/25/21,1,8/3/21,13,4
39,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed9Date,7/21/21,7/27/21,1,8/3/21,13,6
40,BAY,Away,BAY-A,B,4,1,Construction,B_1_Construction,Construction_A,0,10,1,0,Seed10Date,7/21/21,7/30/21,1,8/3/21,13,9
41,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed1Date,7/21/21,7/24/21,1,8/3/21,13,3
42,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed2Date,7/21/21,7/24/21,1,8/3/21,13,3
43,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed3Date,7/21/21,7/24/21,1,8/3/21,13,3
44,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
45,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
46,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed6Date,7/21/21,7/25/21,1,8/3/21,13,4
47,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed7Date,7/21/21,7/28/21,1,8/3/21,13,7
48,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed8Date,7/21/21,,NA,8/3/21,13,0
49,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed9Date,7/21/21,,NA,8/3/21,13,0
50,BAY,Away,BAY-A,C,5,1,Vegetated,C_1_Natural,Natural_A,3,7,0.7,0.3,Seed10Date,7/21/21,,NA,8/3/21,13,0
51,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
52,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
53,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
54,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
55,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
56,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
57,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
58,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed8Date,7/21/21,7/25/21,1,8/3/21,13,4
59,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed9Date,7/21/21,7/27/21,1,8/3/21,13,6
60,BAY,Away,BAY-A,C,6,1,Construction,C_1_Construction,Construction_A,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
61,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
62,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
63,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
64,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
65,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
66,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed6Date,7/21/21,7/25/21,1,8/3/21,13,4
67,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed7Date,7/21/21,7/29/21,1,8/3/21,13,8
68,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed8Date,7/21/21,,NA,8/3/21,13,0
69,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed9Date,7/21/21,,NA,8/3/21,13,0
70,BAY,Away,BAY-A,D,7,1,Construction,D_1_Construction,Construction_A,3,7,0.7,0.3,Seed10Date,7/21/21,,NA,8/3/21,13,0
71,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
72,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
73,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
74,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
75,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
76,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
77,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
78,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed8Date,7/21/21,7/26/21,1,8/3/21,13,5
79,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed9Date,7/21/21,7/27/21,1,8/3/21,13,6
80,BAY,Away,BAY-A,D,8,1,Vegetated,D_1_Natural,Natural_A,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
81,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
82,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
83,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed3Date,7/21/21,7/24/21,1,8/3/21,13,3
84,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
85,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed5Date,7/21/21,7/26/21,1,8/3/21,13,5
86,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed6Date,7/21/21,7/28/21,1,8/3/21,13,7
87,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed7Date,7/21/21,8/1/21,1,8/3/21,13,11
88,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed8Date,7/21/21,,NA,8/3/21,13,0
89,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed9Date,7/21/21,,NA,8/3/21,13,0
90,BAY,Away,BAY-A,E,9,1,Vegetated,E_1_Natural,Natural_A,3,7,0.7,0.3,Seed10Date,7/21/21,,NA,8/3/21,13,0
91,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
92,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
93,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
94,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
95,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
96,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
97,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
98,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed8Date,7/21/21,7/25/21,1,8/3/21,13,4
99,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed9Date,7/21/21,7/27/21,1,8/3/21,13,6
100,BAY,Away,BAY-A,E,10,1,Construction,E_1_Construction,Construction_A,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
101,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
102,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
103,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
104,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
105,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed5Date,7/21/21,7/23/21,1,8/3/21,13,2
106,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed6Date,7/21/21,7/23/21,1,8/3/21,13,2
107,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed7Date,7/21/21,7/23/21,1,8/3/21,13,2
108,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed8Date,7/21/21,7/23/21,1,8/3/21,13,2
109,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed9Date,7/21/21,7/24/21,1,8/3/21,13,3
110,BAY,Roadside,BAY-R,A,11,2,Vegetated,A_2_Natural,Natural_R,0,10,1,0,Seed10Date,7/21/21,7/31/21,1,8/3/21,13,10
111,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
112,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
113,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
114,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
115,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed5Date,7/21/21,7/23/21,1,8/3/21,13,2
116,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
117,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed7Date,7/21/21,7/25/21,1,8/3/21,13,4
118,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed8Date,7/21/21,,NA,8/3/21,13,0
119,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed9Date,7/21/21,,NA,8/3/21,13,0
120,BAY,Roadside,BAY-R,A,12,2,Construction,A_2_Construction,Construction_R,3,7,0.7,0.3,Seed10Date,7/21/21,,NA,8/3/21,13,0
121,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
122,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
123,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
124,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
125,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
126,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
127,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
128,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed8Date,7/21/21,7/25/21,1,8/3/21,13,4
129,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed9Date,7/21/21,,NA,8/3/21,13,0
130,BAY,Roadside,BAY-R,B,13,2,Vegetated,B_2_Natural,Natural_R,2,8,0.8,0.2,Seed10Date,7/21/21,,NA,8/3/21,13,0
131,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
132,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
133,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
134,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed4Date,7/21/21,7/24/21,1,8/3/21,13,3
135,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
136,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
137,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
138,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed8Date,7/21/21,,NA,8/3/21,13,0
139,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed9Date,7/21/21,,NA,8/3/21,13,0
140,BAY,Roadside,BAY-R,B,14,2,Construction,B_2_Construction,Construction_R,3,7,0.7,0.3,Seed10Date,7/21/21,,NA,8/3/21,13,0
141,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
142,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
143,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
144,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
145,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed5Date,7/21/21,7/23/21,1,8/3/21,13,2
146,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
147,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
148,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed8Date,7/21/21,7/24/21,1,8/3/21,13,3
149,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed9Date,7/21/21,,NA,8/3/21,13,0
150,BAY,Roadside,BAY-R,C,15,2,Construction,C_2_Construction,Construction_R,2,8,0.8,0.2,Seed10Date,7/21/21,,NA,8/3/21,13,0
151,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
152,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
153,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
154,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
155,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed5Date,7/21/21,7/23/21,1,8/3/21,13,2
156,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed6Date,7/21/21,7/23/21,1,8/3/21,13,2
157,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
158,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed8Date,7/21/21,7/24/21,1,8/3/21,13,3
159,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed9Date,7/21/21,7/26/21,1,8/3/21,13,5
160,BAY,Roadside,BAY-R,C,16,2,Vegetated,C_2_Natural,Natural_R,1,9,0.9,0.1,Seed10Date,7/21/21,,NA,8/3/21,13,0
161,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed1Date,7/21/21,7/23/21,1,8/3/21,13,2
162,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed2Date,7/21/21,7/23/21,1,8/3/21,13,2
163,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed3Date,7/21/21,7/23/21,1,8/3/21,13,2
164,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed4Date,7/21/21,7/23/21,1,8/3/21,13,2
165,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed5Date,7/21/21,7/24/21,1,8/3/21,13,3
166,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed6Date,7/21/21,7/24/21,1,8/3/21,13,3
167,BAY,Roadside,BAY-R,D,17,2,Construction,D_2_Construction,Construction_R,0,10,1,0,Seed7Date,7/21/21,7/24/21,1,8/3/21,13,3
