Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,DeathBy,MortBinaryCont,MortBinaryNom,Censor,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,BudDate,Repro,DaysBud,NumBuds,FlowerDate,NumFlower,Height,Biomass,Biomass date,Notes
A,1,A1,12,A1_12,GUA-R,GUA,Roadside,Raking,2/27/21,17.83,9,-8.83,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,1,A1,13,A1_13,LEX-O,LEX,Off-road,Raking,2/27/21,18.99,28,9.01,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,1,A1,14,A1_14,OAP-O,OAP,Off-road,Raking,2/27/21,13.54,23,9.46,7/16/21,,0,0,0,139,11/15/21,261,139,7/16/21,,0, ,,,,3.4,0.058,9/28/21,
A,1,A1,15,A1_15,SSJ-R,SSJ,Roadside,Raking,2/27/21,16,27,11,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
A,1,A1,16,A1_16,OAP-R,OAP,Roadside,Raking,2/27/21,18.49,23,4.51,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,2,A2,1,A2_01,LEX-R,LEX,Roadside,Control,3/19/21,30,27,-3,7/30/21,,0,0,0,133,11/15/21,241,133,,,0, ,,,,,,,no body 
A,2,A2,2,A2_02,CHE-O,CHE,Off-road,Control,3/19/21,23,16,-7,7/2/21,,0,0,0,105,11/15/21,241,105,,,0, ,,,,,,,
A,2,A2,3,A2_03,PAR-R,PAR,Roadside,Control,2/27/21,16.72,33,16.28,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,11,,,12.5,0.101,9/8/21,
A,2,A2,4,A2_04,OAP-R,OAP,Roadside,Control,2/27/21,21.54,30,8.46,,,1,1,1,-44254,11/15/21,261,261,7/2/21,5/28/21,1,90,17,,,13.4,0.102,9/8/21,
A,2,A2,5,A2_05,CHE-R,CHE,Roadside,Control,2/27/21,20.16,17,-3.16,7/2/21,,0,0,0,125,11/15/21,261,125,,,0, ,,,,,,,
A,2,A2,6,A2_06,BAY-R,BAY,Roadside,Control,2/27/21,25.33,19,-6.33,,,1,1,1,-44254,11/15/21,261,261,7/2/21,7/2/21,1,125,,,,8.1,0.059,9/8/21,
A,2,A2,7,A2_07,PAR-O,PAR,Off-road,Control,2/27/21,23.48,,-23.48,3/29/21,,0,0,0,30,11/15/21,261,30,,,0, ,,,,,,,
A,2,A2,8,A2_08,SSJ-O,SSJ,Off-road,Control,2/27/21,19.44,16,-3.44,7/2/21,,0,0,0,125,11/15/21,261,125,,6/25/21,1,118,2,,,,,,Had to remove buds before we decided to harvest when budding
A,2,A2,9,A2_09,GUA-O,GUA,Off-road,Control,2/27/21,22.89,13,-9.89,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,2,A2,10,A2_10,OAP-O,OAP,Off-road,Control,3/24/21,24,33,9,,,1,1,1,-44279,11/15/21,236,236,7/2/21,6/25/21,1,93,5,,,8.1,0.211,9/8/21,
A,2,A2,11,A2_11,GUA-R,GUA,Roadside,Control,2/27/21,25.89,,-25.89,5/16/21,,0,0,0,78,11/15/21,261,78,,,0, ,,,,,,,
A,2,A2,12,A2_12,PEN-O,PEN,Off-road,Control,2/27/21,13.68,21,7.32,8/12/21,,0,0,0,166,11/15/21,261,166,8/12/21,,0, ,,,,5.4,0.071,9/7/21,
A,2,A2,13,A2_13,BAY-O,BAY,Off-road,Control,2/27/21,15.9,9,-6.9,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,2,A2,14,A2_14,PEN-R,PEN,Roadside,Control,2/27/21,12.06,15,2.94,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,2,A2,15,A2_15,LEX-O,LEX,Off-road,Control,2/27/21,30.88,16,-14.88,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,2,A2,16,A2_16,SSJ-R,SSJ,Roadside,Control,2/27/21,13.26,11,-2.26,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
A,3,A3,1,A3_01,OAP-O,OAP,Off-road,Raking + Clipping,3/8/21,26,,-26,4/16/21,Squirrel,0,0,0,39,11/15/21,252,39,,,0, ,,,,,,,Dead due to squirrel activity
A,3,A3,2,A3_02,PAR-R,PAR,Roadside,Raking + Clipping,2/27/21,21.83,17,-4.83,,,1,1,1,-44254,11/15/21,261,261,7/2/21,5/28/21,1,90,11,6/11/21,3,7.4,0.041,9/8/21,
A,3,A3,3,A3_03,PEN-R,PEN,Roadside,Raking + Clipping,2/27/21,11.09,,-11.09,5/16/21,,0,0,0,78,11/15/21,261,78,,,0, ,,,,,,,
A,3,A3,4,A3_04,GUA-O,GUA,Off-road,Raking + Clipping,3/8/21,20,33,13,6/18/21,,0,0,0,102,11/15/21,252,102,,,0, ,,,,,,,
A,3,A3,5,A3_05,BAY-O,BAY,Off-road,Raking + Clipping,2/27/21,10.34,27,16.66,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,8,,,9.7,0.06,9/8/21,
A,3,A3,6,A3_06,OAP-R,OAP,Roadside,Raking + Clipping,2/27/21,26.94,26,-0.94,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,24,,,18.7,0.4,9/8/21,
A,3,A3,7,A3_07,PEN-O,PEN,Off-road,Raking + Clipping,3/8/21,16,24,8,6/11/21,,0,0,0,95,11/15/21,252,95,,,0, ,,,,,,,
A,3,A3,8,A3_08,LEX-O,LEX,Off-road,Raking + Clipping,3/8/21,13,37,24,,,1,1,1,-44263,11/15/21,252,252,7/2/21,6/25/21,1,109,2,,,5.9,0.189,9/8/21,
A,3,A3,9,A3_09,PAR-O,PAR,Off-road,Raking + Clipping,2/27/21,13.17,27,13.83,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,13,,,8.9,0.06,9/8/21,
A,3,A3,10,A3_10,GUA-R,GUA,Roadside,Raking + Clipping,3/8/21,42,46,4,,,1,1,1,-44263,11/15/21,252,252,7/2/21,7/2/21,1,116,,,,11.5,0.276,9/8/21,Previously there was a mortality date of 7/2/2021... this is thought to be in error.
A,3,A3,11,A3_11,CHE-R,CHE,Roadside,Raking + Clipping,3/19/21,25,39,14,7/16/21,,0,0,0,119,11/15/21,241,119,7/16/21,,0, ,,,,7,0.115,9/28/21,
A,3,A3,12,A3_12,SSJ-R,SSJ,Roadside,Raking + Clipping,3/19/21,32,24,-8,7/2/21,,0,0,0,105,11/15/21,241,105,,,0, ,,,,,,,
A,3,A3,13,A3_13,SSJ-O,SSJ,Off-road,Raking + Clipping,2/27/21,13.26,31,17.74,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,23,,,13,0.314,9/8/21,
A,3,A3,14,A3_14,LEX-R,LEX,Roadside,Raking + Clipping,2/27/21,10.39,23,12.61,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,3,A3,15,A3_15,CHE-O,CHE,Off-road,Raking + Clipping,2/27/21,21.13,25,3.87,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,27,,,13.5,0.467,9/8/21,
A,3,A3,16,A3_16,BAY-R,BAY,Roadside,Raking + Clipping,3/8/21,22,16,-6,6/11/21,,0,0,0,95,11/15/21,252,95,,,0, ,,,,,,,
A,4,A4,1,A4_01,LEX-R,LEX,Roadside,Hemizonia,2/27/21,19.7,27,7.3,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,1,,,7.9,0.111,9/8/21,
A,4,A4,2,A4_02,SSJ-O,SSJ,Off-road,Hemizonia,2/27/21,21,20,-1,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/11/21,1,104,7,,,8.7,0.087,9/8/21,
A,4,A4,3,A4_03,PAR-R,PAR,Roadside,Hemizonia,3/8/21,19,28,9,,,1,1,1,-44263,11/15/21,252,252,7/2/21,6/25/21,1,109,4,,,12.9,0.089,9/8/21,
A,4,A4,4,A4_04,LEX-O,LEX,Off-road,Hemizonia,3/19/21,15,,-15,4/30/21,Squirrel,0,0,0,42,11/15/21,241,42,,,0, ,,,,,,,Dead due to squirrel activity
A,4,A4,5,A4_05,CHE-O,CHE,Off-road,Hemizonia,2/27/21,25.66,12,-13.66,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,4,A4,6,A4_06,PEN-R,PEN,Roadside,Hemizonia,3/19/21,18,16,-2,7/2/21,,0,0,0,105,11/15/21,241,105,,,0, ,,,,,,,
A,4,A4,7,A4_07,SSJ-R,SSJ,Roadside,Hemizonia,3/8/21,30,27,-3,,,1,1,1,-44263,11/15/21,252,252,10/1/21,10/1/21,1,207,,,,15.5,0.193,10/4/21,
A,4,A4,8,A4_08,OAP-O,OAP,Off-road,Hemizonia,3/19/21,23,26,3,,,1,1,1,-44274,11/15/21,241,241,10/1/21,10/1/21,1,196,,,,10,0.187,10/4/21,
A,4,A4,9,A4_09,PAR-O,PAR,Off-road,Hemizonia,2/27/21,29,28,-1,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
A,4,A4,10,A4_10,BAY-R,BAY,Roadside,Hemizonia,3/8/21,24,24,0,,,1,1,1,-44263,11/15/21,252,252,7/2/21,6/11/21,1,95,11,,,9.9,0.093,9/8/21,
A,4,A4,11,A4_11,OAP-R,OAP,Roadside,Hemizonia,2/27/21,21.88,23,1.12,,,1,1,1,-44254,11/15/21,261,261,7/2/21,5/28/21,1,90,11,,,10,0.079,9/8/21,
A,4,A4,12,A4_12,PEN-O,PEN,Off-road,Hemizonia,2/27/21,19.12,17,-2.12,,,1,1,1,-44254,11/15/21,261,261,7/2/21,5/28/21,1,90,28,6/25/21,2,11.1,0.144,9/8/21,
A,4,A4,13,A4_13,BAY-O,BAY,Off-road,Hemizonia,2/27/21,14.23,25,10.77,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,6,,,7.1,0.033,9/8/21,
A,4,A4,14,A4_14,GUA-O,GUA,Off-road,Hemizonia,3/8/21,20,31,11,,,1,1,1,-44263,11/15/21,252,252,9/17/21,9/17/21,1,193,,,,14.2,0.228,9/22/21,
A,4,A4,15,A4_15,GUA-R,GUA,Roadside,Hemizonia,3/19/21,32,26,-6,8/19/21,,0,0,0,153,11/15/21,241,153,8/19/21,,0, ,,,,5.5,0.069,9/8/21,
A,4,A4,16,A4_16,CHE-R,CHE,Roadside,Hemizonia,2/27/21,23.12,17,-6.12,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,5,A5,1,A5_01,BAY-O,BAY,Off-road,Biomass Removal,2/27/21,20.49,33,12.51,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,15,,,24.5,1.986,9/8/21,
A,5,A5,2,A5_02,PAR-O,PAR,Off-road,Biomass Removal,2/27/21,20.32,18,-2.32,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,25,6/25/21,2,9.9,0.73,9/8/21,
A,5,A5,3,A5_03,BAY-R,BAY,Roadside,Biomass Removal,3/19/21,30,46,16,,,1,1,1,-44274,11/15/21,241,241,7/2/21,6/25/21,1,98,7,,,12.4,0.762,9/8/21,
A,5,A5,4,A5_04,PEN-O,PEN,Off-road,Biomass Removal,2/27/21,21.15,28,6.85,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,12,,,9.2,0.718,9/8/21,
A,5,A5,5,A5_05,SSJ-R,SSJ,Roadside,Biomass Removal,2/27/21,13.83,36,22.17,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,7,,,12.6,1.195,9/8/21,
A,5,A5,6,A5_06,SSJ-O,SSJ,Off-road,Biomass Removal,2/27/21,31.5,28,-3.5,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,18,6/25/21,6,14.6,1.812,9/8/21,
A,5,A5,7,A5_07,GUA-R,GUA,Roadside,Biomass Removal,2/27/21,16.18,31,14.82,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,47.5,9.279,9/20/21,
A,5,A5,8,A5_08,PAR-R,PAR,Roadside,Biomass Removal,2/27/21,19.02,34,14.98,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,7,,,14.3,1.92,9/8/21,
A,5,A5,9,A5_09,CHE-O,CHE,Off-road,Biomass Removal,3/19/21,24,59,35,6/25/21,,0,0,0,98,11/15/21,241,98,,,0, ,,,,,,,
A,5,A5,10,A5_10,OAP-O,OAP,Off-road,Biomass Removal,2/27/21,25.97,47,21.03,,,1,1,1,-44254,11/15/21,261,261,9/3/21,,0, ,,9/3/21,,43.2,18.07,9/8/21,
A,5,A5,11,A5_11,OAP-R,OAP,Roadside,Biomass Removal,3/19/21,22,70,48,,,1,1,1,-44274,11/15/21,241,241,9/10/21,9/10/21,1,175,,,,61.5,20.413,9/13/21,
A,5,A5,12,A5_12,PEN-R,PEN,Roadside,Biomass Removal,2/27/21,12.56,49,36.44,7/2/21,,0,0,0,125,11/15/21,261,125,7/2/21,,0, ,,,,20.6,1.414,9/8/21,no buds
A,5,A5,13,A5_13,GUA-O,GUA,Off-road,Biomass Removal,3/19/21,17,52,35,6/18/21,,0,0,0,91,11/15/21,241,91,,,0, ,,,,,,,cut- friendly fire
A,5,A5,14,A5_14,CHE-R,CHE,Roadside,Biomass Removal,2/27/21,19.08,37,17.92,,,1,1,1,-44254,11/15/21,261,261,7/2/21,7/2/21,1,125,,,,20.5,1.772,9/8/21,
A,5,A5,15,A5_15,LEX-O,LEX,Off-road,Biomass Removal,3/19/21,20,57,37,,,1,1,1,-44274,11/15/21,241,241,9/17/21,9/17/21,1,182,,,,54.1,7.193,9/22/21,
A,5,A5,16,A5_16,LEX-R,LEX,Roadside,Biomass Removal,2/27/21,23.46,32,8.54,,,1,1,1,-44254,11/15/21,261,261,7/2/21,6/25/21,1,118,42,,,18.1,1.21,9/8/21,
B,1,B1,1,B1_01,PEN-R,PEN,Roadside,Control,2/27/21,18.94,6,-12.94,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
B,1,B1,2,B1_02,PAR-O,PAR,Off-road,Control,2/27/21,22.33,16,-6.33,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
B,1,B1,3,B1_03,CHE-R,CHE,Roadside,Control,2/27/21,23,31,8,,,1,1,1,-44254,11/15/21,261,261,9/24/21,9/24/21,1,209,,,,24.5,0.85,9/27/21,
B,1,B1,4,B1_04,SSJ-R,SSJ,Roadside,Control,2/27/21,17.63,29,11.37,6/25/21,,0,0,0,118,11/15/21,261,118,7/2/21,,0, ,,,,4.8,0.033,9/8/21,harvest data after mortality bc body still available 
B,1,B1,5,B1_05,SSJ-O,SSJ,Off-road,Control,2/27/21,15.68,23,7.32,6/18/21,Squirrel,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,1,B1,6,B1_06,LEX-O,LEX,Off-road,Control,2/27/21,22.54,34,11.46,,,1,1,1,-44254,11/15/21,261,261,9/24/21,9/24/21,1,209,,,,17.7,0.404,9/28/21,
B,1,B1,7,B1_07,GUA-O,GUA,Off-road,Control,2/27/21,15.79,18,2.21,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,1,B1,8,B1_08,GUA-R,GUA,Roadside,Control,3/9/21,26,26,0,6/25/21,,0,0,0,108,11/15/21,251,108,,,0, ,,,,,,,
B,1,B1,9,B1_09,CHE-O,CHE,Off-road,Control,2/27/21,17.95,23,5.05,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,1,B1,10,B1_10,OAP-O,OAP,Off-road,Control,2/27/21,21.82,42,20.18,10/1/21,,0,0,0,216,11/15/21,261,216,10/1/21,,0, ,,,,15.8,0.868,10/4/21,
B,1,B1,11,B1_11,BAY-O,BAY,Off-road,Control,2/27/21,15.8,16,0.2,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,1,B1,12,B1_12,BAY-R,BAY,Roadside,Control,3/9/21,20,29,9,5/28/21,,0,0,0,80,11/15/21,251,80,,,0, ,,,,,,,
B,1,B1,13,B1_13,LEX-R,LEX,Roadside,Control,2/27/21,12.04,7,-5.04,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,1,B1,14,B1_14,PAR-R,PAR,Roadside,Control,2/27/21,15.38,18,2.62,6/25/21,,0,0,0,118,11/15/21,261,118,,,0, ,,,,,,,
B,1,B1,15,B1_15,OAP-R,OAP,Roadside,Control,2/27/21,9.64,11,1.36,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,1,B1,16,B1_16,PEN-O,PEN,Off-road,Control,2/27/21,10.55,16,5.45,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,2,B2,1,B2_01,LEX-O,LEX,Off-road,Biomass Removal,2/27/21,24.25,45,20.75,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,44.5,7.451,9/13/21,
B,2,B2,2,B2_02,PAR-O,PAR,Off-road,Biomass Removal,2/27/21,16.73,50,33.27,6/18/21,,0,0,0,111,11/15/21,261,111,7/2/21,,0, ,,,,9.9,0.976,9/8/21,harvest date after mortality bc body still available 
B,2,B2,3,B2_03,PEN-O,PEN,Off-road,Biomass Removal,3/19/21,36,71,35,,,1,1,1,-44274,11/15/21,241,241,8/27/21,8/27/21,1,161,,,,60.6,39.831,9/8/21,"could not weigth, extremely juicy"
B,2,B2,4,B2_04,LEX-R,LEX,Roadside,Biomass Removal,2/27/21,24.56,74,49.44,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,72.4,21.673,9/20/21,
B,2,B2,5,B2_05,OAP-R,OAP,Roadside,Biomass Removal,3/19/21,35,46,11,,,1,1,1,-44274,11/15/21,241,241,7/9/21,7/9/21,1,112,,,,33.9,11.527,9/8/21,
B,2,B2,6,B2_06,SSJ-R,SSJ,Roadside,Biomass Removal,2/27/21,23.27,81,57.73,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,61,43.922,9/22/21,
B,2,B2,7,B2_07,PAR-R,PAR,Roadside,Biomass Removal,2/27/21,14.96,59,44.04,,,1,1,1,-44254,11/15/21,261,261,9/3/21,9/3/21,1,188,,,,62,24.371,9/9/21,
B,2,B2,8,B2_08,GUA-R,GUA,Roadside,Biomass Removal,2/27/21,23.94,44,20.06,,,1,1,1,-44254,11/15/21,261,261,7/9/21,7/9/21,1,132,,,,34.4,11.967,9/7/21,
B,2,B2,9,B2_09,SSJ-O,SSJ,Off-road,Biomass Removal,2/27/21,26.92,54,27.08,7/23/21,,0,0,0,146,11/15/21,261,146,7/23/21,,0, ,,,,16.2,3.596,9/3/21,
B,2,B2,10,B2_10,CHE-R,CHE,Roadside,Biomass Removal,2/27/21,27.38,57,29.62,7/9/21,,0,0,0,132,11/15/21,261,132,7/9/21,,0, ,,,,29.5,5.889,9/7/21,
B,2,B2,11,B2_11,BAY-O,BAY,Off-road,Biomass Removal,2/27/21,21.69,53,31.31,,,1,1,1,-44254,11/15/21,261,261,8/27/21,,0, ,,8/27/21,,40.7,13.478,9/8/21,
B,2,B2,12,B2_12,PEN-R,PEN,Roadside,Biomass Removal,2/27/21,16.68,49,32.32,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,48,12.253,9/13/21,
B,2,B2,13,B2_13,CHE-O,CHE,Off-road,Biomass Removal,2/27/21,18.13,60,41.87,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,2,B2,14,B2_14,GUA-O,GUA,Off-road,Biomass Removal,2/27/21,20.29,58,37.71,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,60,13.799,9/20/21,
B,2,B2,15,B2_15,BAY-R,BAY,Roadside,Biomass Removal,2/27/21,20.28,51,30.72,8/27/21,,0,0,0,181,11/15/21,261,181,8/27/21,,0, ,,,,33.8,7.048,9/7/21,
B,2,B2,16,B2_16,OAP-O,OAP,Off-road,Biomass Removal,2/27/21,17.03,59,41.97,,,1,1,1,-44254,11/15/21,261,261,9/10/21,9/10/21,1,195,,,,41.5,5.984,9/13/21,
B,3,B3,1,B3_01,OAP-O,OAP,Off-road,Raking,2/27/21,9.44,36,26.56,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,3,B3,2,B3_02,LEX-O,LEX,Off-road,Raking,2/27/21,27.29,,-27.29,4/5/21,,0,0,0,37,11/15/21,261,37,,,0, ,,,,,,,
B,3,B3,3,B3_03,CHE-R,CHE,Roadside,Raking,2/27/21,14.81,22,7.19,6/11/21,Squirrel,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,3,B3,4,B3_04,PAR-O,PAR,Off-road,Raking,2/27/21,20.19,31,10.81,,,1,1,1,-44254,11/15/21,261,261,9/3/21,9/3/21,1,188,,,,16.2,0.308,9/28/21,
B,3,B3,5,B3_05,PEN-O,PEN,Off-road,Raking,2/27/21,13.19,27,13.81,7/16/21,,0,0,0,139,11/15/21,261,139,7/16/21,,0, ,,,,2.3,0.052,9/28/21,
B,3,B3,6,B3_06,SSJ-R,SSJ,Roadside,Raking,2/27/21,14.7,,-14.7,5/16/21,Squirrel,0,0,0,78,11/15/21,261,78,,,0, ,,,,,,,
B,3,B3,7,B3_07,PAR-R,PAR,Roadside,Raking,2/27/21,26.9,44,17.1,7/2/21,,0,0,0,125,11/15/21,261,125,7/2/21,,0, ,,,,13.1,0.632,9/9/21,
B,3,B3,8,B3_08,OAP-R,OAP,Roadside,Raking,2/27/21,7.35,12,4.65,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,3,B3,9,B3_09,PEN-R,PEN,Roadside,Raking,2/27/21,15.55,12,-3.55,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,3,B3,10,B3_10,CHE-O,CHE,Off-road,Raking,2/27/21,13.71,58,44.29,6/25/21,,0,0,0,118,11/15/21,261,118,,,0, ,,,,,,,
B,3,B3,11,B3_11,SSJ-O,SSJ,Off-road,Raking,2/27/21,18.39,26,7.61,7/16/21,,0,0,0,139,11/15/21,261,139,7/16/21,,0, ,,,,8,0.136,9/28/21,
B,3,B3,12,B3_12,BAY-O,BAY,Off-road,Raking,2/27/21,17.24,16,-1.24,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,3,B3,13,B3_13,BAY-R,BAY,Roadside,Raking,2/27/21,10.96,36,25.04,7/30/21,,0,0,0,153,11/15/21,261,153,7/30/21,,0, ,,,,9.3,0.094,9/8/21,
B,3,B3,14,B3_14,LEX-R,LEX,Roadside,Raking,2/27/21,12.19,42,29.81,6/11/21,Squirrel,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,3,B3,15,B3_15,GUA-O,GUA,Off-road,Raking,2/27/21,20.55,28,7.45,7/2/21,,0,0,0,125,11/15/21,261,125,7/2/21,,0, ,,,,7.6,0.189,9/9/21,
B,3,B3,16,B3_16,GUA-R,GUA,Roadside,Raking,2/27/21,14.63,31,16.37,7/23/21,,0,0,0,146,11/15/21,261,146,7/23/21,,0, ,,,,6.9,0.055,9/7/21,
B,4,B4,1,B4_01,PEN-R,PEN,Roadside,Hemizonia,2/27/21,25.01,14,-11.01,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,4,B4,2,B4_02,PAR-O,PAR,Off-road,Hemizonia,2/27/21,17.63,,-17.63,5/16/21,,0,0,0,78,11/15/21,261,78,,,0, ,,,,,,,
B,4,B4,3,B4_03,CHE-O,CHE,Off-road,Hemizonia,2/27/21,30.78,15,-15.78,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
B,4,B4,4,B4_04,SSJ-R,SSJ,Roadside,Hemizonia,2/27/21,21.07,,-21.07,4/5/21,Squirrel,0,0,0,37,11/15/21,261,37,,,0, ,,,,,,,Dead due to squirrel activity
B,4,B4,5,B4_05,OAP-O,OAP,Off-road,Hemizonia,2/27/21,12.58,28,15.42,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,4,B4,6,B4_06,OAP-R,OAP,Roadside,Hemizonia,2/27/21,10.88,17,6.12,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
B,4,B4,7,B4_07,GUA-R,GUA,Roadside,Hemizonia,2/27/21,27.34,22,-5.34,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
B,4,B4,8,B4_08,BAY-R,BAY,Roadside,Hemizonia,2/27/21,20.16,,-20.16,5/16/21,,0,0,0,78,11/15/21,261,78,,,0, ,,,,,,,
B,4,B4,9,B4_09,PAR-R,PAR,Roadside,Hemizonia,2/27/21,14.49,29,14.51,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
B,4,B4,10,B4_10,LEX-R,LEX,Roadside,Hemizonia,2/27/21,18.9,14,-4.9,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
