Block,Plot,Flag,Pos,Flag_Pos,Source,Pop,Type,Trt,PlantDate,LeafMeas1,LeafMeas2,MortDate,DeathBy,MortBinaryCont,MortBinaryNom,Censor,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,BudDate,Repro,DaysBud,NumBuds,FlowerDate,NumFlower,Height,Biomass,Biomass date,Notes
A,4,A4,03,A4_03,PAR-R,PAR,Roadside,+Hemizonia,3/8/2021,19,28,,,1,1,1,-44263,11/15/2021,252,252,7/2/2021,6/25/2021,1,109,4,,,12.9,0.089,9/8/2021,
A,4,A4,04,A4_04,LEX-O,LEX,Off-road,+Hemizonia,3/19/2021,15,,4/30/2021,Squirrel,0,0,0,42,11/15/2021,241,42,,,0, ,,,,,,,Dead due to squirrel activity
A,4,A4,05,A4_05,CHE-O,CHE,Off-road,+Hemizonia,2/27/2021,25.66,12,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,4,A4,06,A4_06,PEN-R,PEN,Roadside,+Hemizonia,3/19/2021,18,16,7/2/2021,,0,0,0,105,11/15/2021,241,105,,,0, ,,,,,,,
A,4,A4,07,A4_07,SSJ-R,SSJ,Roadside,+Hemizonia,3/8/2021,30,1/26/1900,,,1,1,1,-44263,11/15/2021,252,252,10/1/2021,10/1/2021,1,207,,,,15.5,0.193,10/4/2021,
A,4,A4,08,A4_08,OAP-O,OAP,Off-road,+Hemizonia,3/19/2021,23,26,,,1,1,1,-44274,11/15/2021,241,241,10/1/2021,10/1/2021,1,196,,,,10.0,0.187,10/4/2021,
A,4,A4,09,A4_09,PAR-O,PAR,Off-road,+Hemizonia,2/27/2021,29,28,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
A,4,A4,10,A4_10,BAY-R,BAY,Roadside,+Hemizonia,3/8/2021,24,24,,,1,1,1,-44263,11/15/2021,252,252,7/2/2021,6/11/2021,1,95,11,,,9.9,0.093,9/8/2021,
A,4,A4,11,A4_11,OAP-R,OAP,Roadside,+Hemizonia,2/27/2021,21.88,1/22/1900,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,5/28/2021,1,90,11,,,10.0,0.079,9/8/2021,
A,4,A4,12,A4_12,PEN-O,PEN,Off-road,+Hemizonia,2/27/2021,19.12,17,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,5/28/2021,1,90,28,6/25/2021,2,11.1,0.144,9/8/2021,
A,4,A4,13,A4_13,BAY-O,BAY,Off-road,+Hemizonia,2/27/2021,14.23,25,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,6,,,7.1,0.033,9/8/2021,
A,4,A4,14,A4_14,GUA-O,GUA,Off-road,+Hemizonia,3/8/2021,20,31,,,1,1,1,-44263,11/15/2021,252,252,9/17/2021,9/17/2021,1,193,,,,14.2,0.228,9/22/2021,
A,4,A4,15,A4_15,GUA-R,GUA,Roadside,+Hemizonia,3/19/2021,32,26,8/19/2021,,0,0,0,153,11/15/2021,241,153,8/19/2021,,0, ,,,,5.5,0.069,9/8/2021,
A,4,A4,16,A4_16,CHE-R,CHE,Roadside,+Hemizonia,2/27/2021,23.12,17,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,5,A5,01,A5_01,BAY-O,BAY,Off-road,Biomass Removal,2/27/2021,20.49,33,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,15,,,24.5,1.986,9/8/2021,
A,5,A5,02,A5_02,PAR-O,PAR,Off-road,Biomass Removal,2/27/2021,20.32,18,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,25,6/25/2021,2,9.9,0.730,9/8/2021,
A,5,A5,03,A5_03,BAY-R,BAY,Roadside,Biomass Removal,3/19/2021,30,46,,,1,1,1,-44274,11/15/2021,241,241,7/2/2021,6/25/2021,1,98,7,,,12.4,0.762,9/8/2021,
A,5,A5,04,A5_04,PEN-O,PEN,Off-road,Biomass Removal,2/27/2021,21.15,28,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,12,,,9.2,0.718,9/8/2021,
A,5,A5,05,A5_05,SSJ-R,SSJ,Roadside,Biomass Removal,2/27/2021,13.83,36,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,7,,,12.6,1.195,9/8/2021,
A,5,A5,06,A5_06,SSJ-O,SSJ,Off-road,Biomass Removal,2/27/2021,31.5,28,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,18,6/25/2021,6,14.6,1.812,9/8/2021,
A,5,A5,07,A5_07,GUA-R,GUA,Roadside,Biomass Removal,2/27/2021,16.18,31,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,47.5,9.279,9/20/2021,
A,5,A5,08,A5_08,PAR-R,PAR,Roadside,Biomass Removal,2/27/2021,19.02,34,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,7,,,14.3,1.920,9/8/2021,
A,5,A5,09,A5_09,CHE-O,CHE,Off-road,Biomass Removal,3/19/2021,24,59,6/25/2021,,0,0,0,98,11/15/2021,241,98,,,0, ,,,,,,,
A,5,A5,10,A5_10,OAP-O,OAP,Off-road,Biomass Removal,2/27/2021,25.97,47,,,1,1,1,-44254,11/15/2021,261,261,9/3/2021,,0, ,,9/3/2021,,43.2,18.070,9/8/2021,
A,5,A5,11,A5_11,OAP-R,OAP,Roadside,Biomass Removal,3/19/2021,22,70,,,1,1,1,-44274,11/15/2021,241,241,9/10/2021,9/10/2021,1,175,,,,61.5,20.413,9/13/2021,
A,5,A5,12,A5_12,PEN-R,PEN,Roadside,Biomass Removal,2/27/2021,12.56,49,7/2/2021,,0,0,0,125,11/15/2021,261,125,7/2/2021,,0, ,,,,20.6,1.414,9/8/2021,no buds
A,5,A5,13,A5_13,GUA-O,GUA,Off-road,Biomass Removal,3/19/2021,17,52,6/18/2021,,0,0,0,91,11/15/2021,241,91,,,0, ,,,,,,,cut- friendly fire
A,5,A5,14,A5_14,CHE-R,CHE,Roadside,Biomass Removal,2/27/2021,19.08,37,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,7/2/2021,1,125,,,,20.5,1.772,9/8/2021,
A,5,A5,15,A5_15,LEX-O,LEX,Off-road,Biomass Removal,3/19/2021,20,57,,,1,1,1,-44274,11/15/2021,241,241,9/17/2021,9/17/2021,1,182,,,,54.1,7.193,9/22/2021,
A,5,A5,16,A5_16,LEX-R,LEX,Roadside,Biomass Removal,2/27/2021,23.46,32,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,42,,,18.1,1.210,9/8/2021,
B,1,B1,01,B1_01,PEN-R,PEN,Roadside,Control,2/27/2021,18.94,6,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
B,1,B1,02,B1_02,PAR-O,PAR,Off-road,Control,2/27/2021,22.33,16,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
B,1,B1,03,B1_03,CHE-R,CHE,Roadside,Control,2/27/2021,23,31,,,1,1,1,-44254,11/15/2021,261,261,9/24/2021,9/24/2021,1,209,,,,24.5,0.850,9/27/2021,
B,1,B1,04,B1_04,SSJ-R,SSJ,Roadside,Control,2/27/2021,17.63,29,6/25/2021,,0,0,0,118,11/15/2021,261,118,7/2/2021,,0, ,,,,4.8,0.033,9/8/2021,harvest data after mortality bc body still available 
B,1,B1,05,B1_05,SSJ-O,SSJ,Off-road,Control,2/27/2021,15.68,23,6/18/2021,Squirrel,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
B,1,B1,06,B1_06,LEX-O,LEX,Off-road,Control,2/27/2021,22.54,34,,,1,1,1,-44254,11/15/2021,261,261,9/24/2021,9/24/2021,1,209,,,,17.7,0.404,9/28/2021,
B,1,B1,07,B1_07,GUA-O,GUA,Off-road,Control,2/27/2021,15.79,1/17/1900,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,1,B1,08,B1_08,GUA-R,GUA,Roadside,Control,3/9/2021,26,26,6/25/2021,,0,0,0,108,11/15/2021,251,108,,,0, ,,,,,,,
B,1,B1,09,B1_09,CHE-O,CHE,Off-road,Control,2/27/2021,17.95,23,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
B,1,B1,10,B1_10,OAP-O,OAP,Off-road,Control,2/27/2021,21.82,42,10/1/2021,,0,0,0,216,11/15/2021,261,216,10/1/2021,,0, ,,,,15.8,0.868,10/4/2021,
B,1,B1,11,B1_11,BAY-O,BAY,Off-road,Control,2/27/2021,15.8,1/15/1900,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,1,B1,12,B1_12,BAY-R,BAY,Roadside,Control,3/9/2021,20,29,5/28/2021,,0,0,0,80,11/15/2021,251,80,,,0, ,,,,,,,
B,1,B1,13,B1_13,LEX-R,LEX,Roadside,Control,2/27/2021,12.04,7,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,1,B1,14,B1_14,PAR-R,PAR,Roadside,Control,2/27/2021,15.38,18,6/25/2021,,0,0,0,118,11/15/2021,261,118,,,0, ,,,,,,,
B,1,B1,15,B1_15,OAP-R,OAP,Roadside,Control,2/27/2021,9.64,11,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,1,B1,16,B1_16,PEN-O,PEN,Off-road,Control,2/27/2021,10.55,16,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,2,B2,01,B2_01,LEX-O,LEX,Off-road,Biomass Removal,2/27/2021,24.25,45,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,44.5,7.451,9/13/2021,
B,2,B2,02,B2_02,PAR-O,PAR,Off-road,Biomass Removal,2/27/2021,16.73,50,6/18/2021,,0,0,0,111,11/15/2021,261,111,7/2/2021,,0, ,,,,9.9,0.976,9/8/2021,harvest date after mortality bc body still available 
B,2,B2,03,B2_03,PEN-O,PEN,Off-road,Biomass Removal,3/19/2021,36,71,,,1,1,1,-44274,11/15/2021,241,241,8/27/2021,8/27/2021,1,161,,,,60.6,39.831,9/8/2021,"could not weigth, extremely juicy"
B,2,B2,04,B2_04,LEX-R,LEX,Roadside,Biomass Removal,2/27/2021,24.56,74,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,72.4,21.673,9/20/2021,
B,2,B2,05,B2_05,OAP-R,OAP,Roadside,Biomass Removal,3/19/2021,35,46,,,1,1,1,-44274,11/15/2021,241,241,7/9/2021,7/9/2021,1,112,,,,33.9,11.527,9/8/2021,
B,2,B2,06,B2_06,SSJ-R,SSJ,Roadside,Biomass Removal,2/27/2021,23.27,81,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,61.0,43.922,9/22/2021,
B,2,B2,07,B2_07,PAR-R,PAR,Roadside,Biomass Removal,2/27/2021,14.96,59,,,1,1,1,-44254,11/15/2021,261,261,9/3/2021,9/3/2021,1,188,,,,62.0,24.371,9/9/2021,
B,2,B2,08,B2_08,GUA-R,GUA,Roadside,Biomass Removal,2/27/2021,23.94,44,,,1,1,1,-44254,11/15/2021,261,261,7/9/2021,7/9/2021,1,132,,,,34.4,11.967,9/7/2021,
B,2,B2,09,B2_09,SSJ-O,SSJ,Off-road,Biomass Removal,2/27/2021,26.92,54,7/23/2021,,0,0,0,146,11/15/2021,261,146,7/23/2021,,0, ,,,,16.2,3.596,9/3/2021,
B,2,B2,10,B2_10,CHE-R,CHE,Roadside,Biomass Removal,2/27/2021,27.38,57,7/9/2021,,0,0,0,132,11/15/2021,261,132,7/9/2021,,0, ,,,,29.5,5.889,9/7/2021,
B,2,B2,11,B2_11,BAY-O,BAY,Off-road,Biomass Removal,2/27/2021,21.69,53,,,1,1,1,-44254,11/15/2021,261,261,8/27/2021,,0, ,,8/27/2021,,40.7,13.478,9/8/2021,
B,2,B2,12,B2_12,PEN-R,PEN,Roadside,Biomass Removal,2/27/2021,16.68,49,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,48.0,12.253,9/13/2021,
B,2,B2,13,B2_13,CHE-O,CHE,Off-road,Biomass Removal,2/27/2021,18.13,60,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
B,2,B2,14,B2_14,GUA-O,GUA,Off-road,Biomass Removal,2/27/2021,20.29,58,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,60.0,13.799,9/20/2021,
B,2,B2,15,B2_15,BAY-R,BAY,Roadside,Biomass Removal,2/27/2021,20.28,51,8/27/2021,,0,0,0,181,11/15/2021,261,181,8/27/2021,,0, ,,,,33.8,7.048,9/7/2021,
B,2,B2,16,B2_16,OAP-O,OAP,Off-road,Biomass Removal,2/27/2021,17.03,59,,,1,1,1,-44254,11/15/2021,261,261,9/10/2021,9/10/2021,1,195,,,,41.5,5.984,9/13/2021,
B,3,B3,01,B3_01,OAP-O,OAP,Off-road,Raking,2/27/2021,9.44,36,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,3,B3,02,B3_02,LEX-O,LEX,Off-road,Raking,2/27/2021,27.29,,4/5/2021,,0,0,0,37,11/15/2021,261,37,,,0, ,,,,,,,
B,3,B3,03,B3_03,CHE-R,CHE,Roadside,Raking,2/27/2021,14.81,22,6/11/2021,Squirrel,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,3,B3,04,B3_04,PAR-O,PAR,Off-road,Raking,2/27/2021,20.19,31,,,1,1,1,-44254,11/15/2021,261,261,9/3/2021,9/3/2021,1,188,,,,16.2,0.308,9/28/2021,
B,3,B3,05,B3_05,PEN-O,PEN,Off-road,Raking,2/27/2021,13.19,27,7/16/2021,,0,0,0,139,11/15/2021,261,139,7/16/2021,,0, ,,,,2.3,0.052,9/28/2021,
B,3,B3,06,B3_06,SSJ-R,SSJ,Roadside,Raking,2/27/2021,14.7,,5/16/2021,Squirrel,0,0,0,78,11/15/2021,261,78,,,0, ,,,,,,,
B,3,B3,07,B3_07,PAR-R,PAR,Roadside,Raking,2/27/2021,26.9,2/12/1900,7/2/2021,,0,0,0,125,11/15/2021,261,125,7/2/2021,,0, ,,,,13.1,0.632,9/9/2021,
B,3,B3,08,B3_08,OAP-R,OAP,Roadside,Raking,2/27/2021,7.35,12,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,3,B3,09,B3_09,PEN-R,PEN,Roadside,Raking,2/27/2021,15.55,12,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,3,B3,10,B3_10,CHE-O,CHE,Off-road,Raking,2/27/2021,13.71,58,6/25/2021,,0,0,0,118,11/15/2021,261,118,,,0, ,,,,,,,
B,3,B3,11,B3_11,SSJ-O,SSJ,Off-road,Raking,2/27/2021,18.39,1/25/1900,7/16/2021,,0,0,0,139,11/15/2021,261,139,7/16/2021,,0, ,,,,8.0,0.136,9/28/2021,
B,3,B3,12,B3_12,BAY-O,BAY,Off-road,Raking,2/27/2021,17.24,16,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
B,3,B3,13,B3_13,BAY-R,BAY,Roadside,Raking,2/27/2021,10.96,36,7/30/2021,,0,0,0,153,11/15/2021,261,153,7/30/2021,,0, ,,,,9.3,0.094,9/8/2021,
B,3,B3,14,B3_14,LEX-R,LEX,Roadside,Raking,2/27/2021,12.19,42,6/11/2021,Squirrel,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,3,B3,15,B3_15,GUA-O,GUA,Off-road,Raking,2/27/2021,20.55,28,7/2/2021,,0,0,0,125,11/15/2021,261,125,7/2/2021,,0, ,,,,7.6,0.189,9/9/2021,
B,3,B3,16,B3_16,GUA-R,GUA,Roadside,Raking,2/27/2021,14.63,31,7/23/2021,,0,0,0,146,11/15/2021,261,146,7/23/2021,,0, ,,,,6.9,0.055,9/7/2021,
B,4,B4,01,B4_01,PEN-R,PEN,Roadside,+Hemizonia,2/27/2021,25.01,14,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,4,B4,02,B4_02,PAR-O,PAR,Off-road,+Hemizonia,2/27/2021,17.63,,5/16/2021,,0,0,0,78,11/15/2021,261,78,,,0, ,,,,,,,
B,4,B4,03,B4_03,CHE-O,CHE,Off-road,+Hemizonia,2/27/2021,30.78,15,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
B,4,B4,04,B4_04,SSJ-R,SSJ,Roadside,+Hemizonia,2/27/2021,21.07,,4/5/2021,Squirrel,0,0,0,37,11/15/2021,261,37,,,0, ,,,,,,,Dead due to squirrel activity
B,4,B4,05,B4_05,OAP-O,OAP,Off-road,+Hemizonia,2/27/2021,12.58,28,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
B,4,B4,06,B4_06,OAP-R,OAP,Roadside,+Hemizonia,2/27/2021,10.88,17,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
B,4,B4,07,B4_07,GUA-R,GUA,Roadside,+Hemizonia,2/27/2021,27.34,22,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
B,4,B4,08,B4_08,BAY-R,BAY,Roadside,+Hemizonia,2/27/2021,20.16,,5/16/2021,,0,0,0,78,11/15/2021,261,78,,,0, ,,,,,,,
B,4,B4,09,B4_09,PAR-R,PAR,Roadside,+Hemizonia,2/27/2021,14.49,29,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
